CBOE Volume and Put/Call Ratio data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action.  As of June 11 2012 Index Volume includes only the volume of cash-settled index option products and excludes that of exchange-traded products.  Historical index volume from November 1 2006 through May 31 2012 is based on cleared volume as reported by the OCC. The volume data reflected after May 31 2012 below is based upon preliminary reported volume rather than cleared volume. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of CBOE Volume and Put/Call Ratio data is subject to the Terms and Conditions of CBOE's Websites.,,,,
, PRODUCT:INDEX,,EXCHANGE: CBOE,
DATE,CALL,PUT,TOTAL,P/C Ratio
9/15/2011,869882,1061041,1930923,1.22
9/16/2011,750959,871190,1622149,1.16
9/19/2011,496525,542030,1038555,1.09
9/20/2011,479295,629569,1108864,1.31
9/21/2011,618521,1125418,1743939,1.82
9/22/2011,793376,1180120,1973496,1.49
9/23/2011,504785,739600,1244385,1.47
9/26/2011,287705,573509,861214,1.99
9/27/2011,439192,673785,1112977,1.53
9/28/2011,285692,593450,879142,2.08
9/29/2011,340059,595504,935563,1.75
9/30/2011,557973,688968,1246941,1.23
10/3/2011,597172,967797,1564969,1.62
10/4/2011,764684,1143771,1908455,1.5
10/5/2011,514306,814455,1328761,1.58
10/6/2011,534183,837923,1372106,1.57
10/7/2011,397158,739955,1137113,1.86
10/10/2011,416428,707159,1123587,1.7
10/11/2011,449958,974052,1424010,2.16
10/12/2011,672535,1208957,1881492,1.8
10/13/2011,481127,566978,1048105,1.18
10/14/2011,608329,749243,1357572,1.23
10/17/2011,537798,750683,1288481,1.4
10/18/2011,619705,757891,1377596,1.22
10/19/2011,690976,1081514,1772490,1.57
10/20/2011,656141,948302,1604443,1.45
10/21/2011,554139,781701,1335840,1.41
10/24/2011,555692,915194,1470886,1.65
10/25/2011,345643,527654,873297,1.53
10/26/2011,310384,458852,769236,1.48
10/27/2011,1033629,1330991,2364620,1.29
10/28/2011,497573,758648,1256221,1.52
10/31/2011,358964,680529,1039493,1.9
11/1/2011,666437,1118933,1785370,1.68
11/2/2011,396570,647779,1044349,1.63
11/3/2011,504873,656713,1161586,1.3
11/4/2011,369603,406625,776228,1.1
11/7/2011,283148,442506,725654,1.56
11/8/2011,476568,685548,1162116,1.44
11/9/2011,692408,992184,1684592,1.43
11/10/2011,409000,637121,1046121,1.56
11/11/2011,591941,597345,1189286,1.01
11/14/2011,537807,695435,1233242,1.29
11/15/2011,592765,668393,1261158,1.13
11/16/2011,565852,1179691,1745543,2.08
11/17/2011,845252,1272696,2117948,1.51
11/18/2011,990085,577309,1567394,0.58
11/21/2011,437444,632766,1070210,1.45
11/22/2011,404949,559607,964556,1.38
11/23/2011,480791,880775,1361566,1.83
11/25/2011,243558,376723,620281,1.55
11/28/2011,311903,467040,778943,1.5
11/29/2011,309391,495600,804991,1.6
11/30/2011,659943,878198,1538141,1.33
12/1/2011,540130,690052,1230182,1.28
12/2/2011,547391,647932,1195323,1.18
12/5/2011,487371,576787,1064158,1.18
12/6/2011,527761,436065,963826,0.83
12/7/2011,508541,512022,1020563,1.01
12/8/2011,520226,554497,1074723,1.07
12/9/2011,494498,796361,1290859,1.61
12/12/2011,462471,624996,1087467,1.35
12/13/2011,642031,942771,1584802,1.47
12/14/2011,647115,815231,1462346,1.26
12/15/2011,514700,857650,1372350,1.67
12/16/2011,551903,667362,1219265,1.21
12/19/2011,400628,415373,816001,1.04
12/20/2011,404490,492909,897399,1.22
12/21/2011,436154,661440,1097594,1.52
12/22/2011,334995,555150,890145,1.66
12/23/2011,215265,290717,505982,1.35
12/27/2011,152708,163657,316365,1.07
12/28/2011,266368,274630,540998,1.03
12/29/2011,137976,303115,441091,2.2
12/30/2011,169362,233641,403003,1.38
1/3/2012,435851,443262,879113,1.02
1/4/2012,307830,440099,747929,1.43
1/5/2012,485576,486614,972190,1
1/6/2012,420402,655899,1076301,1.56
1/9/2012,318776,447280,766056,1.4
1/10/2012,616871,607915,1224786,0.99
1/11/2012,337900,454418,792318,1.34
1/12/2012,452473,554447,1006920,1.23
1/13/2012,911999,524121,1436120,0.57
1/17/2012,526029,658703,1184732,1.25
1/18/2012,876238,1009606,1885844,1.15
1/19/2012,821844,882593,1704437,1.07
1/20/2012,485891,753906,1239797,1.55
1/23/2012,386590,667661,1054251,1.73
1/24/2012,349591,335435,685026,0.96
1/25/2012,579391,382954,962345,0.66
1/26/2012,455983,646055,1102038,1.42
1/27/2012,376876,453625,830501,1.2
1/30/2012,311945,366947,678892,1.18
1/31/2012,319274,349210,668484,1.09
2/1/2012,615251,572591,1187842,0.93
2/2/2012,373551,493393,866944,1.32
2/3/2012,981239,858549,1839788,0.87
2/6/2012,341921,400417,742338,1.17
2/7/2012,748834,496202,1245036,0.66
2/8/2012,553099,566487,1119586,1.02
2/9/2012,485256,599189,1084445,1.23
2/10/2012,804099,846269,1650368,1.05
2/13/2012,460127,688524,1148651,1.5
2/14/2012,606111,804145,1410256,1.33
2/15/2012,754872,1103686,1858558,1.46
2/16/2012,729784,987339,1717123,1.35
2/17/2012,470460,588395,1058855,1.25
2/21/2012,599435,672514,1271949,1.12
2/22/2012,582447,674845,1257292,1.16
2/23/2012,563751,696337,1260088,1.24
2/24/2012,418981,720087,1139068,1.72
2/27/2012,401920,427026,828946,1.06
2/28/2012,415679,405461,821140,0.98
2/29/2012,444838,770970,1215808,1.73
3/1/2012,351287,589828,941115,1.68
3/2/2012,475812,608221,1084033,1.28
3/5/2012,401585,471956,873541,1.18
3/6/2012,595699,776083,1371782,1.3
3/7/2012,420780,618792,1039572,1.47
3/8/2012,560070,554404,1114474,0.99
3/9/2012,490098,704786,1194884,1.44
3/12/2012,426309,481439,907748,1.13
3/13/2012,686848,878985,1565833,1.28
3/14/2012,884032,703519,1587551,0.8
3/15/2012,708484,675529,1384013,0.95
3/16/2012,419281,757928,1177209,1.81
3/19/2012,672945,746099,1419044,1.11
3/20/2012,547727,663664,1211391,1.21
3/21/2012,851248,1120115,1971363,1.32
3/22/2012,391446,656467,1047913,1.68
3/23/2012,401780,639223,1041003,1.59
3/26/2012,551118,787797,1338915,1.43
3/27/2012,463870,789840,1253710,1.7
3/28/2012,466208,718619,1184827,1.54
3/29/2012,484677,647030,1131707,1.33
3/30/2012,410772,543232,954004,1.32
4/2/2012,467797,557513,1025310,1.19
4/3/2012,384833,629537,1014370,1.64
4/4/2012,464059,554030,1018089,1.19
4/5/2012,527823,687203,1215026,1.3
4/9/2012,337902,542572,880474,1.61
4/10/2012,883336,924432,1807768,1.05
4/11/2012,583772,712381,1296153,1.22
4/12/2012,564926,785005,1349931,1.39
4/13/2012,605126,624828,1229954,1.03
4/16/2012,528462,682160,1210622,1.29
4/17/2012,767818,738127,1505945,0.96
4/18/2012,578019,805913,1383932,1.39
4/19/2012,632156,850777,1482933,1.35
4/20/2012,505199,468200,973399,0.93
4/23/2012,423578,393415,816993,0.93
4/24/2012,316893,408339,725232,1.29
4/25/2012,399335,472746,872081,1.18
4/26/2012,571524,493392,1064916,0.86
4/27/2012,422244,478351,900595,1.13
4/30/2012,497540,460566,958106,0.93
5/1/2012,433891,560975,994866,1.29
5/2/2012,483608,481192,964800,1
5/3/2012,548516,494947,1043463,0.9
5/4/2012,671127,715376,1386503,1.07
5/7/2012,482889,425816,908705,0.88
5/8/2012,572395,762923,1335318,1.33
5/9/2012,561355,634511,1195866,1.13
5/10/2012,472764,608472,1081236,1.29
5/11/2012,388730,610350,999080,1.57
5/14/2012,632505,930623,1563128,1.47
5/15/2012,816580,911832,1728412,1.12
5/16/2012,1007919,1110028,2117947,1.1
5/17/2012,854597,1587739,2442336,1.86
5/18/2012,765730,1149943,1915673,1.5
5/21/2012,583025,703217,1286242,1.21
5/22/2012,675835,778477,1454312,1.15
5/23/2012,627036,649932,1276968,1.04
5/24/2012,785016,769474,1554490,0.98
5/25/2012,351619,637475,989094,1.81
5/29/2012,497161,552778,1049939,1.11
5/30/2012,444960,472657,917617,1.06
5/31/2012,595550,732936,1328486,1.23
6/1/2012,723674,1050274,1773948,1.45
6/4/2012,609913,705508,1315421,1.16
6/5/2012,463055,620153,1083208,1.34
6/6/2012,743282,1024202,1767484,1.38
6/7/2012,823570,847763,1671333,1.03
6/8/2012,571298,508710,1080008,0.89
06/11/2012, 706165, 527940, 1234105, 0.75
06/12/2012, 484475, 580037, 1064512, 1.20
06/13/2012, 413281, 606223, 1019504, 1.47
06/14/2012, 706702, 777665, 1484367, 1.10
06/15/2012, 617932, 921107, 1539039, 1.49
06/18/2012, 600801, 900177, 1500978, 1.50
06/19/2012, 759571, 871524, 1631095, 1.15
06/20/2012, 645448, 677320, 1322768, 1.05
06/21/2012, 583833, 756836, 1340669, 1.30
06/22/2012, 438996, 522793, 961789, 1.19
06/25/2012, 384755, 566620, 951375, 1.47
06/26/2012, 315441, 363048, 678489, 1.15
06/27/2012, 336730, 398149, 734879, 1.18
06/28/2012, 432791, 391084, 823875, 0.90
06/29/2012, 680620, 688440, 1369060, 1.01
07/02/2012, 405072, 529165, 934237, 1.31
07/03/2012, 364896, 402433, 767329, 1.10
07/05/2012, 469529, 423863, 893392, 0.90
07/06/2012, 380112, 434238, 814350, 1.14
07/09/2012, 432130, 448973, 881103, 1.04
07/10/2012, 457869, 495101, 952970, 1.08
07/11/2012, 575802, 458084, 1033886, 0.80
07/12/2012, 758370, 808215, 1566585, 1.07
07/13/2012, 511256, 719984, 1231240, 1.41
07/16/2012, 410829, 450547, 861376, 1.10
07/17/2012, 840902, 663998, 1504900, 0.79
07/18/2012, 935654, 830369, 1766023, 0.89
07/19/2012, 868627, 743953, 1612580, 0.86
07/20/2012, 481338, 536143, 1017481, 1.11
07/23/2012, 535524, 433667, 969191, 0.81
07/24/2012, 606899, 523460, 1130359, 0.86
07/25/2012, 476083, 409400, 885483, 0.86
07/26/2012, 406621, 503192, 909813, 1.24
07/27/2012, 660922, 667700, 1328622, 1.01
07/30/2012, 478587, 355383, 833970, 0.74
07/31/2012, 368158, 309441, 677599, 0.84
08/01/2012, 388909, 461347, 850256, 1.19
08/02/2012, 515525, 535439, 1050964, 1.04
08/03/2012, 695055, 759136, 1454191, 1.09
08/06/2012, 734420, 625370, 1359790, 0.85
08/07/2012, 523769, 487520, 1011289, 0.93
08/08/2012, 395070, 351105, 746175, 0.89
08/09/2012, 428829, 452294, 881123, 1.05
08/10/2012, 332338, 375109, 707447, 1.13
08/13/2012, 735631, 653302, 1388933, 0.89
08/14/2012, 535917, 587808, 1123725, 1.10
08/15/2012, 560007, 411182, 971189, 0.73
08/16/2012, 967843, 939903, 1907746, 0.97
08/17/2012, 546857, 538165, 1085022, 0.98
08/20/2012, 426066, 698874, 1124940, 1.64
08/21/2012, 631002, 609249, 1240251, 0.97
08/22/2012, 609547, 665945, 1275492, 1.09
08/23/2012, 476871, 562183, 1039054, 1.18
08/24/2012, 406897, 388640, 795537, 0.96
08/27/2012, 273564, 299712, 573276, 1.10
08/28/2012, 275669, 307968, 583637, 1.12
08/29/2012, 291213, 309384, 600597, 1.06
08/30/2012, 427816, 530071, 957887, 1.24
08/31/2012, 346512, 475804, 822316, 1.37
09/04/2012, 378526, 421797, 800323, 1.11
09/05/2012, 406612, 409404, 816016, 1.01
09/06/2012, 822141, 867948, 1690089, 1.06
09/07/2012, 1056364, 979167, 2035531, 0.93
09/10/2012, 722684, 553314, 1275998, 0.77
09/11/2012, 1122362, 912140, 2034502, 0.81
09/12/2012, 720161, 557460, 1277621, 0.77
09/13/2012, 1051993, 944320, 1996313, 0.90
09/14/2012, 1047937, 944362, 1992299, 0.90
09/17/2012, 445968, 536515, 982483, 1.20
09/18/2012, 634262, 710234, 1344496, 1.12
09/19/2012, 1043380, 756905, 1800285, 0.73
09/20/2012, 882808, 743752, 1626560, 0.84
09/21/2012, 653223, 662089, 1315312, 1.01
09/24/2012, 486757, 457036, 943793, 0.94
09/25/2012, 553177, 554880, 1108057, 1.00
09/26/2012, 601127, 599055, 1200182, 1.00
09/27/2012, 562263, 578369, 1140632, 1.03
09/28/2012, 642107, 600664, 1242771, 0.94
10/01/2012, 417147, 440477, 857624, 1.06
10/02/2012, 302115, 396448, 698563, 1.31
10/03/2012, 462347, 526092, 988439, 1.14
10/04/2012, 487028, 546257, 1033285, 1.12
10/05/2012, 643724, 662281, 1306005, 1.03
10/08/2012, 273553, 351255, 624808, 1.28
10/09/2012, 489329, 525966, 1015295, 1.07
10/10/2012, 669347, 684061, 1353408, 1.02
10/11/2012, 494936, 564963, 1059899, 1.14
10/12/2012, 579804, 737219, 1317023, 1.27
10/15/2012, 723665, 457182, 1180847, 0.63
10/16/2012, 738545, 644977, 1383522, 0.87
10/17/2012, 1228686, 1029453, 2258139, 0.84
10/18/2012, 920510, 876311, 1796821, 0.95
10/19/2012, 689771, 916400, 1606171, 1.33
10/22/2012, 514868, 567625, 1082493, 1.10
10/23/2012, 748900, 648639, 1397539, 0.87
10/24/2012, 431102, 423290, 854392, 0.98
10/25/2012, 790476, 487866, 1278342, 0.62
10/26/2012, 382861, 507108, 889969, 1.32
10/31/2012, 498454, 464176, 962630, 0.93
11/01/2012, 504589, 634961, 1139550, 1.26
11/02/2012, 756772, 555031, 1311803, 0.73
11/05/2012, 547675, 490358, 1038033, 0.90
11/06/2012, 477902, 492591, 970493, 1.03
11/07/2012, 784927, 815613, 1600540, 1.04
11/08/2012, 704196, 863566, 1567762, 1.23
11/09/2012, 623886, 941278, 1565164, 1.51
11/12/2012, 599811, 687284, 1287095, 1.15
11/13/2012, 996377, 645405, 1641782, 0.65
11/14/2012, 898486, 1099091, 1997577, 1.22
11/15/2012, 885568, 1202151, 2087719, 1.36
11/16/2012, 925671, 946911, 1872582, 1.02
11/19/2012, 1020254, 794337, 1814591, 0.78
11/20/2012, 461150, 782224, 1243374, 1.70
11/21/2012, 696031, 697130, 1393161, 1.00
11/23/2012, 398597, 433299, 831896, 1.09
11/26/2012, 1060422, 494542, 1554964, 0.47
11/27/2012, 538808, 557857, 1096665, 1.04
11/28/2012, 516557, 416573, 933130, 0.81
11/29/2012, 654579, 780521, 1435100, 1.19
11/30/2012, 412291, 553248, 965539, 1.34
12/03/2012, 732130, 598339, 1330469, 0.82
12/04/2012, 499000, 538318, 1037318, 1.08
12/05/2012, 516096, 507082, 1023178, 0.98
12/06/2012, 387000, 515720, 902720, 1.33
12/07/2012, 743681, 561579, 1305260, 0.76
12/10/2012, 509493, 504859, 1014352, 0.99
12/11/2012, 736450, 555640, 1292090, 0.75
12/12/2012, 604844, 747998, 1352842, 1.24
12/13/2012, 631358, 609911, 1241269, 0.97
12/14/2012, 674914, 685020, 1359934, 1.01
12/17/2012, 589821, 452242, 1042063, 0.77
12/18/2012, 1032675, 1003471, 2036146, 0.97
12/19/2012, 959661, 995218, 1954879, 1.04
12/20/2012, 868239, 964914, 1833153, 1.11
12/21/2012, 672764, 961136, 1633900, 1.43
12/24/2012, 183134, 266142, 449276, 1.45
12/26/2012, 309730, 414672, 724402, 1.34
12/27/2012, 624357, 745939, 1370296, 1.19
12/28/2012, 543254, 708387, 1251641, 1.30
12/31/2012, 772825, 806000, 1578825, 1.04
01/02/2013, 1015907, 1180352, 2196259, 1.16
01/03/2013, 910062, 918920, 1828982, 1.01
01/04/2013, 833377, 642335, 1475712, 0.77
01/07/2013, 815194, 825598, 1640792, 1.01
01/08/2013, 769695, 674135, 1443830, 0.88
01/09/2013, 713716, 685732, 1399448, 0.96
01/10/2013, 860236, 601878, 1462114, 0.70
01/11/2013, 1035053, 566418, 1601471, 0.55
01/14/2013, 596680, 575960, 1172640, 0.97
01/15/2013, 666767, 823405, 1490172, 1.23
01/16/2013, 988267, 863790, 1852057, 0.87
01/17/2013, 1035049, 874305, 1909354, 0.84
01/18/2013, 921303, 713759, 1635062, 0.77
01/22/2013, 826367, 912165, 1738532, 1.10
01/23/2013, 786043, 691534, 1477577, 0.88
01/24/2013, 1097436, 920503, 2017939, 0.84
01/25/2013, 618073, 585089, 1203162, 0.95
01/28/2013, 420814, 427125, 847939, 1.01
01/29/2013, 555646, 635871, 1191517, 1.14
01/30/2013, 520787, 596663, 1117450, 1.15
01/31/2013, 739598, 546931, 1286529, 0.74
02/01/2013, 667026, 760484, 1427510, 1.14
02/04/2013, 443055, 628235, 1071290, 1.42
02/05/2013, 480037, 471053, 951090, 0.98
02/06/2013, 453444, 582237, 1035681, 1.28
02/07/2013, 446056, 560593, 1006649, 1.26
02/08/2013, 563201, 678849, 1242050, 1.21
02/11/2013, 394625, 548454, 943079, 1.39
02/12/2013, 733014, 766418, 1499432, 1.05
02/13/2013, 898321, 717979, 1616300, 0.80
02/14/2013, 873039, 656626, 1529665, 0.75
02/15/2013, 656648, 771515, 1428163, 1.17
02/19/2013, 631624, 811283, 1442907, 1.28
02/20/2013, 702721, 826039, 1528760, 1.18
02/21/2013, 884177, 1075590, 1959767, 1.22
02/22/2013, 497913, 631340, 1129253, 1.27
02/25/2013, 760742, 896484, 1657226, 1.18
02/26/2013, 1356980, 1177209, 2534189, 0.87
02/27/2013, 760471, 931455, 1691926, 1.22
02/28/2013, 568766, 610161, 1178927, 1.07
03/01/2013, 629174, 772651, 1401825, 1.23
03/04/2013, 455772, 672765, 1128537, 1.48
03/05/2013, 850138, 942705, 1792843, 1.11
03/06/2013, 893415, 626237, 1519652, 0.70
03/07/2013, 471347, 543364, 1014711, 1.15
03/08/2013, 967761, 897580, 1865341, 0.93
03/11/2013, 804800, 863734, 1668534, 1.07
03/12/2013, 798660, 876110, 1674770, 1.10
03/13/2013, 784620, 572521, 1357141, 0.73
03/14/2013, 1180232, 866121, 2046353, 0.73
03/15/2013, 669239, 755392, 1424631, 1.13
03/18/2013, 857974, 744793, 1602767, 0.87
03/19/2013, 1260084, 1025769, 2285853, 0.81
03/20/2013, 1429846, 888881, 2318727, 0.62
03/21/2013, 945116, 715008, 1660124, 0.76
03/22/2013, 856185, 711755, 1567940, 0.83
03/25/2013, 885124, 661993, 1547117, 0.75
03/26/2013, 631584, 486699, 1118283, 0.77
03/27/2013, 601877, 426465, 1028342, 0.71
03/28/2013, 584444, 570091, 1154535, 0.98
04/01/2013, 391059, 324680, 715739, 0.83
04/02/2013, 764469, 563283, 1327752, 0.74
04/03/2013, 759450, 752339, 1511789, 0.99
04/04/2013, 588636, 657518, 1246154, 1.12
04/05/2013, 781353, 665905, 1447258, 0.85
04/08/2013, 492675, 400762, 893437, 0.81
04/09/2013, 1068953, 518584, 1587537, 0.49
04/10/2013, 1066150, 861369, 1927519, 0.81
04/11/2013, 956142, 777675, 1733817, 0.81
04/12/2013, 693534, 789468, 1483002, 1.14
04/15/2013, 1349333, 1226320, 2575653, 0.91
04/16/2013, 1150153, 765883, 1916036, 0.67
04/17/2013, 1100008, 1266080, 2366088, 1.15
04/18/2013, 993283, 1216499, 2209782, 1.22
04/19/2013, 577978, 658756, 1236734, 1.14
04/22/2013, 405530, 463210, 868740, 1.14
04/23/2013, 777039, 735392, 1512431, 0.95
04/24/2013, 643934, 520453, 1164387, 0.81
04/25/2013, 437752, 492982, 930734, 1.13
04/26/2013, 496151, 506721, 1002872, 1.02
04/29/2013, 403672, 426072, 829744, 1.06
04/30/2013, 561664, 450292, 1011956, 0.80
05/01/2013, 513121, 574069, 1087190, 1.12
05/02/2013, 674114, 676712, 1350826, 1.00
05/03/2013, 1044697, 967541, 2012238, 0.93
05/06/2013, 685890, 591303, 1277193, 0.86
05/07/2013, 637151, 681222, 1318373, 1.07
05/08/2013, 777186, 681748, 1458934, 0.88
05/09/2013, 779550, 793645, 1573195, 1.02
05/10/2013, 1006352, 648424, 1654776, 0.64
05/13/2013, 528305, 505393, 1033698, 0.96
05/14/2013, 1057944, 1011705, 2069649, 0.96
05/15/2013, 1250028, 862474, 2112502, 0.69
05/16/2013, 711749, 961918, 1673667, 1.35
05/17/2013, 1003016, 958160, 1961176, 0.96
05/20/2013, 733769, 674288, 1408057, 0.92
05/21/2013, 924652, 907806, 1832458, 0.98
05/22/2013, 1187240, 1173041, 2360281, 0.99
05/23/2013, 788505, 768865, 1557370, 0.98
05/24/2013, 456725, 796980, 1253705, 1.74
05/28/2013, 516023, 575239, 1091262, 1.11
05/29/2013, 808959, 571726, 1380685, 0.71
05/30/2013, 470611, 496218, 966829, 1.05
05/31/2013, 594310, 874699, 1469009, 1.47
06/03/2013, 787500, 732310, 1519810, 0.93
06/04/2013, 474306, 661608, 1135914, 1.39
06/05/2013, 945626, 1167477, 2113103, 1.23
06/06/2013, 898605, 1327650, 2226255, 1.48
06/07/2013, 738881, 900053, 1638934, 1.22
06/10/2013, 474696, 555382, 1030078, 1.17
06/11/2013, 792559, 659007, 1451566, 0.83
06/12/2013, 726642, 846055, 1572697, 1.16
06/13/2013, 787881, 909961, 1697842, 1.15
06/14/2013, 735098, 959690, 1694788, 1.31
06/17/2013, 802226, 835903, 1638129, 1.04
06/18/2013, 842031, 711141, 1553172, 0.84
06/19/2013, 868996, 996792, 1865788, 1.15
06/20/2013, 1388202, 1946189, 3334391, 1.40
06/21/2013, 856045, 1123401, 1979446, 1.31
06/24/2013, 804990, 1046299, 1851289, 1.30
06/25/2013, 472835, 731645, 1204480, 1.55
06/26/2013, 739796, 611130, 1350926, 0.83
06/27/2013, 685241, 820051, 1505292, 1.20
06/28/2013, 533065, 653463, 1186528, 1.23
07/01/2013, 556002, 590112, 1146114, 1.06
07/02/2013, 511452, 620551, 1132003, 1.21
07/03/2013, 309917, 436264, 746181, 1.41
07/05/2013, 522459, 635269, 1157728, 1.22
07/08/2013, 1109190, 1140992, 2250182, 1.03
07/09/2013, 980927, 937897, 1918824, 0.96
07/10/2013, 699743, 712538, 1412281, 1.02
07/11/2013, 855514, 1111934, 1967448, 1.30
07/12/2013, 942900, 693175, 1636075, 0.74
07/15/2013, 907831, 854791, 1762622, 0.94
07/16/2013, 710778, 789159, 1499937, 1.11
07/17/2013, 797272, 851113, 1648385, 1.07
07/18/2013, 1079288, 947310, 2026598, 0.88
07/19/2013, 564537, 551303, 1115840, 0.98
07/22/2013, 366473, 487657, 854130, 1.33
07/23/2013, 455883, 457140, 913023, 1.00
07/24/2013, 370402, 460954, 831356, 1.24
07/25/2013, 436296, 521488, 957784, 1.20
07/26/2013, 499752, 662562, 1162314, 1.33
07/29/2013, 298623, 367926, 666549, 1.23
07/30/2013, 457549, 410814, 868363, 0.90
07/31/2013, 626998, 636097, 1263095, 1.01
08/01/2013, 743269, 776601, 1519870, 1.04
08/02/2013, 672820, 775256, 1448076, 1.15
08/05/2013, 610346, 613241, 1223587, 1.00
08/06/2013, 1301263, 711619, 2012882, 0.55
08/07/2013, 540574, 576085, 1116659, 1.07
08/08/2013, 662443, 561891, 1224334, 0.85
08/09/2013, 448963, 555961, 1004924, 1.24
08/12/2013, 539488, 422649, 962137, 0.78
08/13/2013, 678862, 639533, 1318395, 0.94
08/14/2013, 646163, 615581, 1261744, 0.95
08/15/2013, 1330138, 1236987, 2567125, 0.93
08/16/2013, 787775, 813322, 1601097, 1.03
08/19/2013, 606771, 819051, 1425822, 1.35
08/20/2013, 811270, 609735, 1421005, 0.75
08/21/2013, 1034328, 998440, 2032768, 0.97
08/22/2013, 485115, 499604, 984719, 1.03
08/23/2013, 387638, 476716, 864354, 1.23
08/26/2013, 416106, 453274, 869380, 1.09
08/27/2013, 792023, 989255, 1781278, 1.25
08/28/2013, 598796, 612611, 1211407, 1.02
08/29/2013, 519300, 543999, 1063299, 1.05
08/30/2013, 516308, 589384, 1105692, 1.14
09/03/2013, 742302, 613057, 1355359, 0.83
09/04/2013, 747997, 565331, 1313328, 0.76
09/05/2013, 513086, 537713, 1050799, 1.05
09/06/2013, 642419, 715111, 1357530, 1.11
09/09/2013, 793526, 482886, 1276412, 0.61
09/10/2013, 1075613, 739701, 1815314, 0.69
09/11/2013, 812832, 911561, 1724393, 1.12
09/12/2013, 756482, 622957, 1379439, 0.82
09/13/2013, 666287, 515109, 1181396, 0.77
09/16/2013, 753491, 770876, 1524367, 1.02
09/17/2013, 922644, 808024, 1730668, 0.88
09/18/2013, 1275644, 1160654, 2436298, 0.91
09/19/2013, 1043479, 812770, 1856249, 0.78
09/20/2013, 680761, 859261, 1540022, 1.26
09/23/2013, 518283, 698758, 1217041, 1.35
09/24/2013, 502637, 590197, 1092834, 1.17
09/25/2013, 515545, 615449, 1130994, 1.19
09/26/2013, 534293, 492229, 1026522, 0.92
09/27/2013, 814334, 797788, 1612122, 0.98
09/30/2013, 846083, 905117, 1751200, 1.07
10/01/2013, 699374, 684301, 1383675, 0.98
10/02/2013, 984718, 776792, 1761510, 0.79
10/03/2013, 1255756, 1173242, 2428998, 0.93
10/04/2013, 795527, 857671, 1653198, 1.08
10/07/2013, 654649, 634258, 1288907, 0.97
10/08/2013, 1594314, 1378778, 2973092, 0.86
10/09/2013, 1231103, 1363255, 2594358, 1.11
10/10/2013, 1285310, 1196580, 2481890, 0.93
10/11/2013, 756433, 849042, 1605475, 1.12
10/14/2013, 930700, 939499, 1870199, 1.01
10/15/2013, 1149684, 1000434, 2150118, 0.87
10/16/2013, 1338076, 1405161, 2743237, 1.05
10/17/2013, 1340846, 1331395, 2672241, 0.99
10/18/2013, 1424708, 1234122, 2658830, 0.87
10/21/2013, 522189, 601602, 1123791, 1.15
10/22/2013, 647094, 662846, 1309940, 1.02
10/23/2013, 446983, 575425, 1022408, 1.29
10/24/2013, 435835, 482505, 918340, 1.11
10/25/2013, 361202, 477015, 838217, 1.32
10/28/2013, 512046, 603129, 1115175, 1.18
10/29/2013, 519410, 555007, 1074417, 1.07
10/30/2013, 718478, 776637, 1495115, 1.08
10/31/2013, 439857, 605839, 1045696, 1.38
11/01/2013, 468487, 488958, 957445, 1.04
11/04/2013, 574785, 481519, 1056304, 0.84
11/05/2013, 661143, 490045, 1151188, 0.74
11/06/2013, 492586, 541475, 1034061, 1.10
11/07/2013, 923115, 728234, 1651349, 0.79
11/08/2013, 560505, 670650, 1231155, 1.20
11/11/2013, 522753, 499539, 1022292, 0.96
11/12/2013, 662027, 626380, 1288407, 0.95
11/13/2013, 765208, 653918, 1419126, 0.85
11/14/2013, 1133376, 1126766, 2260142, 0.99
11/15/2013, 660888, 692918, 1353806, 1.05
11/18/2013, 786944, 760219, 1547163, 0.97
11/19/2013, 986928, 690501, 1677429, 0.70
11/20/2013, 763844, 834434, 1598278, 1.09
11/21/2013, 692332, 700441, 1392773, 1.01
11/22/2013, 631602, 882016, 1513618, 1.40
11/25/2013, 463491, 532267, 995758, 1.15
11/26/2013, 510134, 429555, 939689, 0.84
11/27/2013, 525853, 474992, 1000845, 0.90
11/29/2013, 363722, 462285, 826007, 1.27
12/02/2013, 565292, 493576, 1058868, 0.87
12/03/2013, 649398, 635793, 1285191, 0.98
12/04/2013, 563817, 666536, 1230353, 1.18
12/05/2013, 617449, 642094, 1259543, 1.04
12/06/2013, 579718, 731290, 1311008, 1.26
12/09/2013, 443171, 598933, 1042104, 1.35
12/10/2013, 533696, 544531, 1078227, 1.02
12/11/2013, 793238, 869076, 1662314, 1.10
12/12/2013, 937166, 694615, 1631781, 0.74
12/13/2013, 725722, 802454, 1528176, 1.11
12/16/2013, 673023, 619725, 1292748, 0.92
12/17/2013, 817524, 840455, 1657979, 1.03
12/18/2013, 1119420, 1118681, 2238101, 1.00
12/19/2013, 1265402, 1041702, 2307104, 0.82
12/20/2013, 903749, 1098473, 2002222, 1.22
12/23/2013, 695846, 515634, 1211480, 0.74
12/24/2013, 543991, 350124, 894115, 0.64
12/26/2013, 720675, 528375, 1249050, 0.73
12/27/2013, 648434, 492025, 1140459, 0.76
12/30/2013, 710253, 544852, 1255105, 0.77
