CBOE Volume and Put/Call Ratio data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action.  As of June 11 2012 the volume of exchange-traded products is represented as a unique product category.  Historical index volume from November 1 2006 through May 31 2012 is based on cleared volume as reported by the OCC. The volume data reflected after May 31 2012 below is based upon preliminary reported volume rather than cleared volume. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of CBOE Volume and Put/Call Ratio data is subject to the Terms and Conditions of CBOE's Websites.,,,,
, PRODUCT: ETP,,EXCHANGE: CBOE,
DATE,CALL,PUT,TOTAL,P/C Ratio
2/7/2007,136965,265302,402267,1.94
2/8/2007,111033,280318,391351,2.52
2/9/2007,221203,410252,631455,1.85
2/12/2007,225260,497816,723076,2.21
2/13/2007,192046,341097,533143,1.78
2/14/2007,417677,667214,1084891,1.6
2/15/2007,268984,353019,622003,1.31
2/16/2007,147793,201450,349243,1.36
2/20/2007,177514,267223,444737,1.51
2/21/2007,110079,332465,442544,3.02
2/22/2007,224169,383396,607565,1.71
2/23/2007,102746,522139,624885,5.08
2/26/2007,157802,314215,472017,1.99
2/27/2007,441281,1943695,2384976,4.4
2/28/2007,474011,780387,1254398,1.65
3/1/2007,385290,910258,1295548,2.36
3/2/2007,330615,847110,1177725,2.56
3/5/2007,341525,1047828,1389353,3.07
3/6/2007,303133,707203,1010336,2.33
3/7/2007,215715,477767,693482,2.21
3/8/2007,221656,564494,786150,2.55
3/9/2007,258183,567631,825814,2.2
3/12/2007,162671,450935,613606,2.77
3/13/2007,318058,853607,1171665,2.68
3/14/2007,469247,1023964,1493211,2.18
3/15/2007,367746,676075,1043821,1.84
3/16/2007,234526,643885,878411,2.75
3/19/2007,222467,360056,582523,1.62
3/20/2007,245562,320720,566282,1.31
3/21/2007,358630,919884,1278514,2.56
3/22/2007,358721,471056,829777,1.31
3/23/2007,143248,348865,492113,2.44
3/26/2007,190699,348323,539022,1.83
3/27/2007,122624,300351,422975,2.45
3/28/2007,255414,581243,836657,2.28
3/29/2007,190464,454332,644796,2.39
3/30/2007,191466,583237,774703,3.05
4/2/2007,197189,296804,493993,1.51
4/3/2007,184564,512292,696856,2.78
4/4/2007,138654,352129,490783,2.54
4/5/2007,267338,330923,598261,1.24
4/9/2007,166904,201201,368105,1.21
4/10/2007,102416,477813,580229,4.67
4/11/2007,213617,450013,663630,2.11
4/12/2007,148823,397532,546355,2.67
4/13/2007,115523,314124,429647,2.72
4/16/2007,296999,596262,893261,2.01
4/17/2007,268280,365576,633856,1.36
4/18/2007,259388,338100,597488,1.3
4/19/2007,230310,507428,737738,2.2
4/20/2007,423558,508976,932534,1.2
4/23/2007,222293,360043,582336,1.62
4/24/2007,202930,478794,681724,2.36
4/25/2007,282798,399544,682342,1.41
4/26/2007,165126,302773,467899,1.83
4/27/2007,116684,440290,556974,3.77
4/30/2007,129627,506041,635668,3.9
5/1/2007,277484,607468,884952,2.19
5/2/2007,150299,356039,506338,2.37
5/3/2007,99201,313926,413127,3.16
5/4/2007,153901,348442,502343,2.26
5/7/2007,80343,306190,386533,3.81
5/8/2007,150306,517018,667324,3.44
5/9/2007,133618,445357,578975,3.33
5/10/2007,226484,599714,826198,2.65
5/11/2007,233418,385568,618986,1.65
5/14/2007,397518,727025,1124543,1.83
5/15/2007,343310,666074,1009384,1.94
5/16/2007,265607,514639,780246,1.94
5/17/2007,306354,378620,684974,1.24
5/18/2007,261611,666086,927697,2.55
5/21/2007,242735,494160,736895,2.04
5/22/2007,143815,608110,751925,4.23
5/23/2007,174832,416611,591443,2.38
5/24/2007,257169,603260,860429,2.35
5/25/2007,137263,461802,599065,3.36
5/29/2007,128969,240885,369854,1.87
5/30/2007,182117,428060,610177,2.35
5/31/2007,245402,610974,856376,2.49
6/1/2007,252360,486920,739280,1.93
6/4/2007,132367,309855,442222,2.34
6/5/2007,342045,539967,882012,1.58
6/6/2007,198431,628583,827014,3.17
6/7/2007,301495,990155,1291650,3.28
6/8/2007,228678,737244,965922,3.22
6/11/2007,203454,555102,758556,2.73
6/12/2007,290213,794302,1084515,2.74
6/13/2007,327996,642244,970240,1.96
6/14/2007,596831,544837,1141668,0.91
6/15/2007,354991,883220,1238211,2.49
6/18/2007,209143,357394,566537,1.71
6/19/2007,137767,165206,302973,1.2
6/20/2007,258818,540910,799728,2.09
6/21/2007,218910,434705,653615,1.99
6/22/2007,261040,557902,818942,2.14
6/25/2007,232888,474429,707317,2.04
6/26/2007,151924,383333,535257,2.52
6/27/2007,777087,617018,1394105,0.79
6/28/2007,271834,420775,692609,1.55
6/29/2007,231194,633025,864219,2.74
7/2/2007,110584,260819,371403,2.36
7/3/2007,77198,263016,340214,3.41
7/5/2007,116816,335488,452304,2.87
7/6/2007,152988,466752,619740,3.05
7/9/2007,132428,266144,398572,2.01
7/10/2007,328163,611870,940033,1.86
7/11/2007,254625,560408,815033,2.2
7/12/2007,266874,513622,780496,1.92
7/13/2007,189545,610635,800180,3.22
7/16/2007,251609,452457,704066,1.8
7/17/2007,230084,419727,649811,1.82
7/18/2007,268449,563403,831852,2.1
7/19/2007,229539,590342,819881,2.57
7/20/2007,546214,1470327,2016541,2.69
7/23/2007,182676,336773,519449,1.84
7/24/2007,358193,1146894,1505087,3.2
7/25/2007,370468,760068,1130536,2.05
7/26/2007,496291,1506406,2002697,3.04
7/27/2007,398647,1159360,1558007,2.91
7/30/2007,424792,1032620,1457412,2.43
7/31/2007,388844,1151938,1540782,2.96
8/1/2007,430309,1135233,1565542,2.64
8/2/2007,281804,672438,954242,2.39
8/3/2007,350424,1385578,1736002,3.95
8/6/2007,433634,1144365,1577999,2.64
8/7/2007,421239,904513,1325752,2.15
8/8/2007,499401,1190396,1689797,2.38
8/9/2007,367743,992358,1360101,2.7
8/10/2007,424152,1133864,1558016,2.67
8/13/2007,453916,840696,1294612,1.85
8/14/2007,448459,815420,1263879,1.82
8/15/2007,626868,1291760,1918628,2.06
8/16/2007,795908,1891884,2687792,2.38
8/17/2007,764945,1696587,2461532,2.22
8/20/2007,298541,425290,723831,1.42
8/21/2007,277032,387554,664586,1.4
8/22/2007,212004,467579,679583,2.21
8/23/2007,218421,572312,790733,2.62
8/24/2007,282489,611902,894391,2.17
8/27/2007,230672,348372,579044,1.51
8/28/2007,319765,665617,985382,2.08
8/29/2007,230533,445299,675832,1.93
8/30/2007,198037,294197,492234,1.49
8/31/2007,183477,349073,532550,1.9
9/4/2007,248377,457857,706234,1.84
9/5/2007,213440,533552,746992,2.5
9/6/2007,240634,259553,500187,1.08
9/7/2007,342442,603848,946290,1.76
9/10/2007,251530,583220,834750,2.32
9/11/2007,264356,384417,648773,1.45
9/12/2007,217501,353170,570671,1.62
9/13/2007,221375,464623,685998,2.1
9/14/2007,153194,454869,608063,2.97
9/17/2007,224715,565032,789747,2.51
9/18/2007,402640,844916,1247556,2.1
9/19/2007,481076,779508,1260584,1.62
9/20/2007,426128,916254,1342382,2.15
9/21/2007,379152,630924,1010076,1.66
9/24/2007,404073,370223,774296,0.92
9/25/2007,201125,430468,631593,2.14
9/26/2007,278974,425613,704587,1.53
9/27/2007,219703,332623,552326,1.51
9/28/2007,324151,545921,870072,1.68
10/1/2007,296657,431002,727659,1.45
10/2/2007,247435,341135,588570,1.38
10/3/2007,203274,310553,513827,1.53
10/4/2007,170405,303732,474137,1.78
10/5/2007,349359,481672,831031,1.38
10/8/2007,120645,275397,396042,2.28
10/9/2007,190067,294634,484701,1.55
10/10/2007,230630,381829,612459,1.66
10/11/2007,324943,644045,968988,1.98
10/12/2007,189276,370778,560054,1.96
10/15/2007,327550,477579,805129,1.46
10/16/2007,216433,387382,603815,1.79
10/17/2007,388181,547912,936093,1.41
10/18/2007,288764,458351,747115,1.59
10/19/2007,523014,1145511,1668525,2.19
10/22/2007,325060,560887,885947,1.73
10/23/2007,211527,508788,720315,2.41
10/24/2007,455054,769909,1224963,1.69
10/25/2007,243944,523967,767911,2.15
10/26/2007,291611,535522,827133,1.84
10/29/2007,207334,344392,551726,1.66
10/30/2007,166958,450143,617101,2.7
10/31/2007,338224,598063,936287,1.77
11/1/2007,350693,693572,1044265,1.98
11/2/2007,378657,1020027,1398684,2.69
11/5/2007,434170,754486,1188656,1.74
11/6/2007,522895,887081,1409976,1.7
11/7/2007,437575,880550,1318125,2.01
11/8/2007,617027,1469741,2086768,2.38
11/9/2007,459419,876049,1335468,1.91
11/12/2007,557887,973206,1531093,1.74
11/13/2007,545604,968401,1514005,1.77
11/14/2007,436883,689790,1126673,1.58
11/15/2007,506401,1149879,1656280,2.27
11/16/2007,473079,998760,1471839,2.11
11/19/2007,257868,645211,903079,2.5
11/20/2007,362269,712058,1074327,1.97
11/21/2007,388386,616408,1004794,1.59
11/23/2007,109880,163229,273109,1.49
11/26/2007,311546,501519,813065,1.61
11/27/2007,296758,542834,839592,1.83
11/28/2007,354184,646577,1000761,1.83
11/29/2007,234262,382010,616272,1.63
11/30/2007,288326,440408,728734,1.53
12/3/2007,170313,218088,388401,1.28
12/4/2007,193313,376491,569804,1.95
12/5/2007,258478,357502,615980,1.38
12/6/2007,292973,477767,770740,1.63
12/7/2007,250005,415451,665456,1.66
12/10/2007,308974,507902,816876,1.64
12/11/2007,531166,907048,1438214,1.71
12/12/2007,370296,720751,1091047,1.95
12/13/2007,363360,623878,987238,1.72
12/14/2007,269920,612947,882867,2.27
12/17/2007,383631,864167,1247798,2.25
12/18/2007,567907,768514,1336421,1.35
12/19/2007,406970,733076,1140046,1.8
12/20/2007,780051,814414,1594465,1.04
12/21/2007,2196422,799859,2996281,0.36
12/24/2007,164393,243198,407591,1.48
12/26/2007,369162,437593,806755,1.19
12/27/2007,240163,423217,663380,1.76
12/28/2007,203068,473318,676386,2.33
12/31/2007,248796,464156,712952,1.87
1/2/2008,400381,673369,1073750,1.68
1/3/2008,411540,580160,991700,1.41
1/4/2008,691782,1342767,2034549,1.94
1/7/2008,500071,698637,1198708,1.4
1/8/2008,468698,1384497,1853195,2.95
1/9/2008,572580,1230342,1802922,2.15
1/10/2008,540235,908327,1448562,1.68
1/11/2008,544984,682712,1227696,1.25
1/14/2008,478091,745608,1223699,1.56
1/15/2008,573244,883750,1456994,1.54
1/16/2008,743580,1292209,2035789,1.74
1/17/2008,789529,1632680,2422209,2.07
1/18/2008,696594,1529926,2226520,2.2
1/22/2008,525955,1095371,1621326,2.08
1/23/2008,793306,1538963,2332269,1.94
1/24/2008,600835,797594,1398429,1.33
1/25/2008,415875,799283,1215158,1.92
1/28/2008,333919,448322,782241,1.34
1/29/2008,384711,531016,915727,1.38
1/30/2008,604554,755061,1359615,1.25
1/31/2008,549382,811472,1360854,1.48
2/1/2008,657845,761162,1419007,1.16
2/4/2008,338855,502250,841105,1.48
2/5/2008,466378,672427,1138805,1.44
2/6/2008,428902,573256,1002158,1.34
2/7/2008,586142,889434,1475576,1.52
2/8/2008,361701,705359,1067060,1.95
2/11/2008,338270,605847,944117,1.79
2/12/2008,502315,1036366,1538681,2.06
2/13/2008,436836,596138,1032974,1.36
2/14/2008,459466,777704,1237170,1.69
2/15/2008,477195,973872,1451067,2.04
2/19/2008,359596,541187,900783,1.5
2/20/2008,380350,459835,840185,1.21
2/21/2008,263249,499531,762780,1.9
2/22/2008,302782,582799,885581,1.92
2/25/2008,356570,443151,799721,1.24
2/26/2008,380419,661535,1041954,1.74
2/27/2008,294474,499820,794294,1.7
2/28/2008,292808,570199,863007,1.95
2/29/2008,507977,957969,1465946,1.89
3/3/2008,274197,656346,930543,2.39
3/4/2008,463763,750645,1214408,1.62
3/5/2008,349865,848752,1198617,2.43
3/6/2008,437032,704331,1141363,1.61
3/7/2008,555903,1080543,1636446,1.94
3/10/2008,400689,1121229,1521918,2.8
3/11/2008,677035,932458,1609493,1.38
3/12/2008,453066,600872,1053938,1.33
3/13/2008,609943,1100151,1710094,1.8
3/14/2008,708193,1413280,2121473,2
3/17/2008,786554,1483681,2270235,1.89
3/18/2008,725211,1030514,1755725,1.42
3/19/2008,800511,1254636,2055147,1.57
3/20/2008,643544,1121103,1764647,1.74
3/24/2008,633566,616476,1250042,0.97
3/25/2008,331868,425341,757209,1.28
3/26/2008,440583,646187,1086770,1.47
3/27/2008,346693,552065,898758,1.59
3/28/2008,235482,421006,656488,1.79
3/31/2008,348459,390521,738980,1.12
4/1/2008,709766,663997,1373763,0.94
4/2/2008,414454,530036,944490,1.28
4/3/2008,296058,393157,689215,1.33
4/4/2008,422619,508593,931212,1.2
4/7/2008,379006,439655,818661,1.16
4/8/2008,232242,326951,559193,1.41
4/9/2008,351301,511189,862490,1.46
4/10/2008,291539,473556,765095,1.62
4/11/2008,341478,850146,1191624,2.49
4/14/2008,400527,499010,899537,1.25
4/15/2008,349268,440361,789629,1.26
4/16/2008,542897,674627,1217524,1.24
4/17/2008,429863,516379,946242,1.2
4/18/2008,799911,978140,1778051,1.22
4/21/2008,260349,470898,731247,1.81
4/22/2008,258712,662639,921351,2.56
4/23/2008,267236,397924,665160,1.49
4/24/2008,441269,684883,1126152,1.55
4/25/2008,269884,399402,669286,1.48
4/28/2008,266027,421909,687936,1.59
4/29/2008,219499,423958,643457,1.93
4/30/2008,328350,455586,783936,1.39
5/1/2008,399828,840286,1240114,2.1
5/2/2008,384719,576226,960945,1.5
5/5/2008,238971,392408,631379,1.64
5/6/2008,440926,598092,1039018,1.36
5/7/2008,382345,720209,1102554,1.88
5/8/2008,254656,461312,715968,1.81
5/9/2008,421964,493093,915057,1.17
5/12/2008,315492,468315,783807,1.48
5/13/2008,346852,486997,833849,1.4
5/14/2008,498008,559330,1057338,1.12
5/15/2008,427129,499781,926910,1.17
5/16/2008,551315,861215,1412530,1.56
5/19/2008,378504,656190,1034694,1.73
5/20/2008,371221,739180,1110401,1.99
5/21/2008,393326,717160,1110486,1.82
5/22/2008,309390,635753,945143,2.05
5/23/2008,392792,704844,1097636,1.79
5/27/2008,276574,521682,798256,1.89
5/28/2008,250159,329804,579963,1.32
5/29/2008,406014,562686,968700,1.39
5/30/2008,238119,340721,578840,1.43
6/2/2008,363897,665316,1029213,1.83
6/3/2008,381629,848821,1230450,2.22
6/4/2008,325390,707380,1032770,2.17
6/5/2008,439277,876924,1316201,2
6/6/2008,681863,1158165,1840028,1.7
6/9/2008,642428,833019,1475447,1.3
6/10/2008,496797,666619,1163416,1.34
6/11/2008,580494,1028584,1609078,1.77
6/12/2008,520358,796012,1316370,1.53
6/13/2008,507663,597348,1105011,1.18
6/16/2008,542893,661628,1204521,1.22
6/17/2008,318304,522771,841075,1.64
6/18/2008,550086,771725,1321811,1.4
6/19/2008,695829,992746,1688575,1.43
6/20/2008,667644,1386418,2054062,2.08
6/23/2008,419278,568033,987311,1.35
6/24/2008,435191,674791,1109982,1.55
6/25/2008,599727,623710,1223437,1.04
6/26/2008,602042,1135493,1737535,1.89
6/27/2008,521013,897244,1418257,1.72
6/30/2008,637805,1076269,1714074,1.69
7/1/2008,825326,1076418,1901744,1.3
7/2/2008,578601,1058545,1637146,1.83
7/3/2008,361120,674204,1035324,1.87
7/7/2008,619226,1242614,1861840,2.01
7/8/2008,622416,1094948,1717364,1.76
7/9/2008,634897,820693,1455590,1.29
7/10/2008,698416,885673,1584089,1.27
7/11/2008,885129,1395761,2280890,1.58
7/14/2008,676977,1154726,1831703,1.71
7/15/2008,1047418,1510465,2557883,1.44
7/16/2008,962666,958079,1920745,1
7/17/2008,1110740,1169310,2280050,1.05
7/18/2008,723371,880345,1603716,1.22
7/21/2008,418106,497570,915676,1.19
7/22/2008,658988,703941,1362929,1.07
7/23/2008,761690,1125579,1887269,1.48
7/24/2008,567830,810449,1378279,1.43
7/25/2008,517519,507842,1025361,0.98
7/28/2008,353913,566325,920238,1.6
7/29/2008,550966,603243,1154209,1.09
7/30/2008,575606,637079,1212685,1.11
7/31/2008,414478,495544,910022,1.2
8/1/2008,449675,496669,946344,1.1
8/4/2008,522872,632433,1155305,1.21
8/5/2008,639535,585090,1224625,0.91
8/6/2008,641064,668605,1309669,1.04
8/7/2008,424503,558188,982691,1.31
8/8/2008,545252,808695,1353947,1.48
8/11/2008,745509,825210,1570719,1.11
8/12/2008,556783,886762,1443545,1.59
8/13/2008,715009,918276,1633285,1.28
8/14/2008,958230,821782,1780012,0.86
8/15/2008,669411,1069339,1738750,1.6
8/18/2008,425043,642340,1067383,1.51
8/19/2008,576347,717054,1293401,1.24
8/20/2008,464606,560596,1025202,1.21
8/21/2008,410093,705169,1115262,1.72
8/22/2008,292983,391008,683991,1.33
8/25/2008,346063,555455,901518,1.61
8/26/2008,287738,342504,630242,1.19
8/27/2008,341360,374152,715512,1.1
8/28/2008,401163,374544,775707,0.93
8/29/2008,442222,531207,973429,1.2
9/2/2008,442295,629471,1071766,1.42
9/3/2008,757509,684654,1442163,0.9
9/4/2008,796315,1218602,2014917,1.53
9/5/2008,690124,1019464,1709588,1.48
9/8/2008,860604,937757,1798361,1.09
9/9/2008,750998,1111075,1862073,1.48
9/10/2008,560458,863854,1424312,1.54
9/11/2008,877570,1166380,2043950,1.33
9/12/2008,730350,940911,1671261,1.29
9/15/2008,784073,1537865,2321938,1.96
9/16/2008,1004711,1635566,2640277,1.63
9/17/2008,1233433,2129248,3362681,1.73
9/18/2008,1310916,1891156,3202072,1.44
9/19/2008,1279094,1581833,2860927,1.24
9/22/2008,561822,720847,1282669,1.28
9/23/2008,633634,975865,1609499,1.54
9/24/2008,506419,837926,1344345,1.65
9/25/2008,818548,690186,1508734,0.84
9/26/2008,521635,677884,1199519,1.3
9/29/2008,632316,1379123,2011439,2.18
9/30/2008,513591,1033114,1546705,2.01
10/1/2008,499804,614855,1114659,1.23
10/2/2008,573693,1247520,1821213,2.17
10/3/2008,735065,1203680,1938745,1.64
10/6/2008,924613,1905764,2830377,2.06
10/7/2008,1113454,1196448,2309902,1.07
10/8/2008,961420,1198324,2159744,1.25
10/9/2008,882385,1422736,2305121,1.61
10/10/2008,1177955,1618374,2796329,1.37
10/13/2008,792163,936067,1728230,1.18
10/14/2008,864659,799305,1663964,0.92
10/15/2008,796738,952824,1749562,1.2
10/16/2008,1002444,1414934,2417378,1.41
10/17/2008,921657,1049987,1971644,1.14
10/20/2008,484383,500771,985154,1.03
10/21/2008,458787,547627,1006414,1.19
10/22/2008,642494,853931,1496425,1.33
10/23/2008,659545,1018705,1678250,1.54
10/24/2008,548634,854027,1402661,1.56
10/27/2008,398867,699928,1098795,1.75
10/28/2008,529993,698790,1228783,1.32
10/29/2008,619064,585506,1204570,0.95
10/30/2008,434191,326685,760876,0.75
10/31/2008,481100,464365,945465,0.97
11/3/2008,320705,414765,735470,1.29
11/4/2008,536932,740983,1277915,1.38
11/5/2008,445915,603451,1049366,1.35
11/6/2008,448415,840256,1288671,1.87
11/7/2008,439529,480967,920496,1.09
11/10/2008,348654,519137,867791,1.49
11/11/2008,463852,659130,1122982,1.42
11/12/2008,584493,887471,1471964,1.52
11/13/2008,864631,901902,1766533,1.04
11/14/2008,646081,756313,1402394,1.17
11/17/2008,639231,565100,1204331,0.88
11/18/2008,583827,840476,1424303,1.44
11/19/2008,699325,1031624,1730949,1.48
11/20/2008,856145,1367569,2223714,1.6
11/21/2008,1107536,1209612,2317148,1.09
11/24/2008,743857,645497,1389354,0.87
11/25/2008,429913,428096,858009,1
11/26/2008,602895,419111,1022006,0.7
11/28/2008,176064,197219,373283,1.12
12/1/2008,473616,512614,986230,1.08
12/2/2008,344483,459460,803943,1.33
12/3/2008,381273,651842,1033115,1.71
12/4/2008,425821,505366,931187,1.19
12/5/2008,513290,692271,1205561,1.35
12/8/2008,574421,587965,1162386,1.02
12/9/2008,631965,497817,1129782,0.79
12/10/2008,415311,479790,895101,1.16
12/11/2008,654585,665915,1320500,1.02
12/12/2008,389292,441414,830706,1.13
12/15/2008,350480,443171,793651,1.26
12/16/2008,562665,598357,1161022,1.06
12/17/2008,577447,595898,1173345,1.03
12/18/2008,585240,559689,1144929,0.96
12/19/2008,513661,535699,1049360,1.04
12/22/2008,289986,286758,576744,0.99
12/23/2008,237823,238282,476105,1
12/24/2008,100311,92853,193164,0.93
12/26/2008,123149,123659,246808,1
12/29/2008,218194,381367,599561,1.75
12/30/2008,282024,288152,570176,1.02
12/31/2008,372565,315380,687945,0.85
1/2/2009,449060,556479,1005539,1.24
1/5/2009,387619,437630,825249,1.13
1/6/2009,549346,467660,1017006,0.85
1/7/2009,391284,539832,931116,1.38
1/8/2009,313881,415269,729150,1.32
1/9/2009,347421,428936,776357,1.23
1/12/2009,374290,614897,989187,1.64
1/13/2009,437545,482317,919862,1.1
1/14/2009,539594,845424,1385018,1.57
1/15/2009,663262,1051745,1715007,1.59
1/16/2009,661867,740625,1402492,1.12
1/20/2009,442552,573184,1015736,1.3
1/21/2009,433805,459979,893784,1.06
1/22/2009,438350,446101,884451,1.02
1/23/2009,585444,512977,1098421,0.88
1/26/2009,511977,461629,973606,0.9
1/27/2009,369493,317197,686690,0.86
1/28/2009,560630,633003,1193633,1.13
1/29/2009,394146,374442,768588,0.95
1/30/2009,348126,493288,841414,1.42
2/2/2009,367075,395466,762541,1.08
2/3/2009,593677,471390,1065067,0.79
2/4/2009,468096,582947,1051043,1.25
2/5/2009,642956,397607,1040563,0.62
2/6/2009,725595,694871,1420466,0.96
2/9/2009,563894,287638,851532,0.51
2/10/2009,511589,688993,1200582,1.35
2/11/2009,400592,465839,866431,1.16
2/12/2009,476990,469810,946800,0.98
2/13/2009,458355,445503,903858,0.97
2/17/2009,599806,625976,1225782,1.04
2/18/2009,492609,794237,1286846,1.61
2/19/2009,513811,701662,1215473,1.37
2/20/2009,811174,1399439,2210613,1.73
2/23/2009,525886,525415,1051301,1
2/24/2009,583750,533915,1117665,0.91
2/25/2009,587146,624431,1211577,1.06
2/26/2009,488501,285332,773833,0.58
2/27/2009,382224,668675,1050899,1.75
3/2/2009,673856,921768,1595624,1.37
3/3/2009,652936,638659,1291595,0.98
3/4/2009,646326,544559,1190885,0.84
3/5/2009,697520,831008,1528528,1.19
3/6/2009,785479,689319,1474798,0.88
3/9/2009,846522,668647,1515169,0.79
3/10/2009,851361,751484,1602845,0.88
3/11/2009,624714,469810,1094524,0.75
3/12/2009,898414,693406,1591820,0.77
3/13/2009,574704,490396,1065100,0.85
3/16/2009,832648,663207,1495855,0.8
3/17/2009,633938,836520,1470458,1.32
3/18/2009,1059015,741265,1800280,0.7
3/19/2009,873724,935285,1809009,1.07
3/20/2009,811261,777055,1588316,0.96
3/23/2009,693124,744262,1437386,1.07
3/24/2009,496710,506943,1003653,1.02
3/25/2009,536667,646494,1183161,1.2
3/26/2009,518855,677824,1196679,1.31
3/27/2009,345971,405042,751013,1.17
3/30/2009,393703,548868,942571,1.39
3/31/2009,415066,395302,810368,0.95
4/1/2009,385973,459946,845919,1.19
4/2/2009,900311,624473,1524784,0.69
4/3/2009,516768,504307,1021075,0.98
4/6/2009,323704,493991,817695,1.53
4/7/2009,437422,514572,951994,1.18
4/8/2009,312791,387943,700734,1.24
4/9/2009,614186,592552,1206738,0.96
4/13/2009,590801,462404,1053205,0.78
4/14/2009,510423,657394,1167817,1.29
4/15/2009,454108,781791,1235899,1.72
4/16/2009,690945,663011,1353956,0.96
4/17/2009,757818,793312,1551130,1.05
4/20/2009,538154,637026,1175180,1.18
4/21/2009,535757,588569,1124326,1.1
4/22/2009,651975,603245,1255220,0.93
4/23/2009,393900,536752,930652,1.36
4/24/2009,535590,626271,1161861,1.17
4/27/2009,466524,492189,958713,1.06
4/28/2009,301423,444628,746051,1.48
4/29/2009,551215,603011,1154226,1.09
4/30/2009,438692,717388,1156080,1.64
5/1/2009,381393,468074,849467,1.23
5/4/2009,493280,562803,1056083,1.14
5/5/2009,618305,578271,1196576,0.94
5/6/2009,846696,930767,1777463,1.1
5/7/2009,778860,832631,1611491,1.07
5/8/2009,646315,887943,1534258,1.37
5/11/2009,466051,643465,1109516,1.38
5/12/2009,580562,688688,1269250,1.19
5/13/2009,651066,803280,1454346,1.23
5/14/2009,660583,800877,1461460,1.21
5/15/2009,614155,752863,1367018,1.23
5/18/2009,488503,528007,1016510,1.08
5/19/2009,477887,626684,1104571,1.31
5/20/2009,596244,776948,1373192,1.3
5/21/2009,541588,724180,1265768,1.34
5/22/2009,312158,395498,707656,1.27
5/26/2009,377801,444970,822771,1.18
5/27/2009,429613,557869,987482,1.3
5/28/2009,535267,446861,982128,0.83
5/29/2009,458562,458124,916686,1
