CBOE Volume and Put/Call Ratio data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action.  As of June 11 2012 Equity Volume includes only the volume of equity option products and excludes that of exchange-traded products.  Historical index volume from November 1 2006 through May 31 2012 is based on cleared volume as reported by the OCC. The volume data reflected after May 31 2012 below is based upon preliminary reported volume rather than cleared volume. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of CBOE Volume and Put/Call Ratio data is subject to the Terms and Conditions of CBOE's Websites.,,,,
, PRODUCT: EQUITY,,EXCHANGE: CBOE,
DATE,CALL,PUT,TOTAL,P/C Ratio
1/20/2010,1494164,991546,2485710,0.66
1/21/2010,1826546,1282314,3108860,0.7
1/22/2010,1676992,1262928,2939920,0.75
1/25/2010,1230291,784849,2015140,0.64
1/26/2010,1486284,964785,2451069,0.65
1/27/2010,1301470,877324,2178794,0.67
1/28/2010,1372045,887894,2259939,0.65
1/29/2010,1350908,981046,2331954,0.73
2/1/2010,1120867,652412,1773279,0.58
2/2/2010,1392962,808858,2201820,0.58
2/3/2010,1263334,812404,2075738,0.64
2/4/2010,1491045,1164302,2655347,0.78
2/5/2010,1418561,1111989,2530550,0.78
2/8/2010,910735,640567,1551302,0.7
2/9/2010,1195771,853145,2048916,0.71
2/10/2010,1034055,653729,1687784,0.63
2/11/2010,1144102,839582,1983684,0.73
2/12/2010,1075149,652995,1728144,0.61
2/16/2010,1371100,865981,2237081,0.63
2/17/2010,1407049,861856,2268905,0.61
2/18/2010,1452837,970309,2423146,0.67
2/19/2010,1562444,1038910,2601354,0.66
2/22/2010,1371452,825257,2196709,0.6
2/23/2010,1228126,954065,2182191,0.78
2/24/2010,1204798,804868,2009666,0.67
2/25/2010,1013162,825254,1838416,0.81
2/26/2010,913489,623640,1537129,0.68
3/1/2010,1215633,703498,1919131,0.58
3/2/2010,1474115,881045,2355160,0.6
3/3/2010,1199501,774022,1973523,0.65
3/4/2010,1233632,812456,2046088,0.66
3/5/2010,1551820,807190,2359010,0.52
3/8/2010,1441861,734882,2176743,0.51
3/9/2010,2072336,953166,3025502,0.46
3/10/2010,2142961,1105069,3248030,0.52
3/11/2010,1615499,858471,2473970,0.53
3/12/2010,1655196,841971,2497167,0.51
3/15/2010,1346752,759500,2106252,0.56
3/16/2010,1755785,909437,2665222,0.52
3/17/2010,2031293,1002572,3033865,0.49
3/18/2010,1545661,826696,2372357,0.53
3/19/2010,1921689,1157955,3079644,0.6
3/22/2010,1550170,819697,2369867,0.53
3/23/2010,1636826,946877,2583703,0.58
3/24/2010,1498574,963795,2462369,0.64
3/25/2010,1855080,907600,2762680,0.49
3/26/2010,1452191,942088,2394279,0.65
3/29/2010,1487837,949158,2436995,0.64
3/30/2010,1195591,629599,1825190,0.53
3/31/2010,1367789,697688,2065477,0.51
4/1/2010,1256230,636149,1892379,0.51
4/5/2010,1328954,572678,1901632,0.43
4/6/2010,1690913,742449,2433362,0.44
4/7/2010,1779436,1018956,2798392,0.57
4/8/2010,1616774,746769,2363543,0.46
4/9/2010,1680902,803503,2484405,0.48
4/12/2010,2016288,806009,2822297,0.4
4/13/2010,1930766,935973,2866739,0.48
4/14/2010,3137687,1017578,4155265,0.32
4/15/2010,3080508,1110111,4190619,0.36
4/16/2010,3325895,1739952,5065847,0.52
4/19/2010,2229200,1123448,3352648,0.5
4/20/2010,1905312,975078,2880390,0.51
4/21/2010,1996603,1045798,3042401,0.52
4/22/2010,1890742,967868,2858610,0.51
4/23/2010,1804973,864707,2669680,0.48
4/26/2010,2054234,852665,2906899,0.42
4/27/2010,2085895,1199315,3285210,0.57
4/28/2010,1788290,945988,2734278,0.53
4/29/2010,1843390,906214,2749604,0.49
4/30/2010,1777140,1088069,2865209,0.61
5/3/2010,1781450,952849,2734299,0.53
5/4/2010,2022860,1373025,3395885,0.68
5/5/2010,1929849,1349587,3279436,0.7
5/6/2010,2799542,2020646,4820188,0.72
5/7/2010,2271647,1819858,4091505,0.8
5/10/2010,1708332,1061335,2769667,0.62
5/11/2010,1419002,981556,2400558,0.69
5/12/2010,1623205,830295,2453500,0.51
5/13/2010,1521892,859524,2381416,0.56
5/14/2010,1708882,1244936,2953818,0.73
5/17/2010,1523947,1060537,2584484,0.7
5/18/2010,1596359,1028488,2624847,0.64
5/19/2010,1614102,1329170,2943272,0.82
5/20/2010,1954119,1769082,3723201,0.91
5/21/2010,2211275,1921214,4132489,0.87
5/24/2010,1314743,813586,2128329,0.62
5/25/2010,1505026,988431,2493457,0.66
5/26/2010,1595275,853172,2448447,0.53
5/27/2010,1343622,674286,2017908,0.5
5/28/2010,922994,539673,1462667,0.58
6/1/2010,1048585,641364,1689949,0.61
6/2/2010,1274581,803148,2077729,0.63
6/3/2010,1171913,694691,1866604,0.59
6/4/2010,1263843,761589,2025432,0.6
6/7/2010,1222103,729132,1951235,0.6
6/8/2010,1164630,819951,1984581,0.7
6/9/2010,1298668,955597,2254265,0.74
6/10/2010,1266763,838074,2104837,0.66
6/11/2010,881281,617168,1498449,0.7
6/14/2010,1041264,733729,1774993,0.7
6/15/2010,1396451,780521,2176972,0.56
6/16/2010,1248455,826738,2075193,0.66
6/17/2010,1194477,847137,2041614,0.71
6/18/2010,1501787,930745,2432532,0.62
6/21/2010,1479427,794824,2274251,0.54
6/22/2010,1047080,659424,1706504,0.63
6/23/2010,837873,592391,1430264,0.71
6/24/2010,1018603,834175,1852778,0.82
6/25/2010,1042837,655988,1698825,0.63
6/28/2010,831083,544939,1376022,0.66
6/29/2010,1304535,1043209,2347744,0.8
6/30/2010,1026119,633363,1659482,0.62
7/1/2010,1350025,1016637,2366662,0.75
7/2/2010,825835,492465,1318300,0.6
7/6/2010,992224,609950,1602174,0.61
7/7/2010,1150190,602882,1753072,0.52
7/8/2010,1128367,626983,1755350,0.56
7/9/2010,1117866,650209,1768075,0.58
7/12/2010,1103765,671428,1775193,0.61
7/13/2010,1856555,918374,2774929,0.49
7/14/2010,1385771,779158,2164929,0.56
7/15/2010,1357959,832646,2190605,0.61
7/16/2010,1750843,1301934,3052777,0.74
7/19/2010,1483144,757934,2241078,0.51
7/20/2010,1321755,679589,2001344,0.51
7/21/2010,1226396,775665,2002061,0.63
7/22/2010,1512658,781835,2294493,0.52
7/23/2010,1200814,663213,1864027,0.55
7/26/2010,1166761,621289,1788050,0.53
7/27/2010,1387879,724137,2112016,0.52
7/28/2010,979689,682090,1661779,0.7
7/29/2010,1208333,787143,1995476,0.65
7/30/2010,897030,548857,1445887,0.61
8/2/2010,1253509,706725,1960234,0.56
8/3/2010,1117125,665751,1782876,0.6
8/4/2010,1240501,692373,1932874,0.56
8/5/2010,1055946,648185,1704131,0.61
8/6/2010,1005016,582553,1587569,0.58
8/9/2010,886850,499994,1386844,0.56
8/10/2010,982003,615069,1597072,0.63
8/11/2010,1226949,914829,2141778,0.75
8/12/2010,1196185,731623,1927808,0.61
8/13/2010,789784,519895,1309679,0.66
8/16/2010,849286,596616,1445902,0.7
8/17/2010,1150450,718659,1869109,0.62
8/18/2010,1118031,743521,1861552,0.67
8/19/2010,1226333,865901,2092234,0.71
8/20/2010,1369099,992715,2361814,0.73
8/23/2010,1585527,629755,2215282,0.4
8/24/2010,1103177,807142,1910319,0.73
8/25/2010,1110123,672091,1782214,0.61
8/26/2010,865809,538041,1403850,0.62
8/27/2010,1029677,575383,1605060,0.56
8/30/2010,714397,414541,1128938,0.58
8/31/2010,829840,617452,1447292,0.74
9/1/2010,1285242,623299,1908541,0.48
9/2/2010,1095596,602143,1697739,0.55
9/3/2010,992145,552964,1545109,0.56
9/7/2010,820489,497177,1317666,0.61
9/8/2010,1041102,557113,1598215,0.54
9/9/2010,968615,577094,1545709,0.6
9/10/2010,847056,558086,1405142,0.66
9/13/2010,1320548,681731,2002279,0.52
9/14/2010,1333792,786219,2120011,0.59
9/15/2010,1321196,738436,2059632,0.56
9/16/2010,1226860,712371,1939231,0.58
9/17/2010,1619836,957104,2576940,0.59
9/20/2010,1596408,763246,2359654,0.48
9/21/2010,1289690,776939,2066629,0.6
9/22/2010,1118616,818541,1937157,0.73
9/23/2010,1163094,730682,1893776,0.63
9/24/2010,1290201,689125,1979326,0.53
9/27/2010,995050,566975,1562025,0.57
9/28/2010,1114981,657261,1772242,0.59
9/29/2010,1257674,677089,1934763,0.54
9/30/2010,1252242,655807,1908049,0.52
10/1/2010,1158716,624391,1783107,0.54
10/4/2010,1043586,614720,1658306,0.59
10/5/2010,1409761,755062,2164823,0.54
10/6/2010,1349182,782339,2131521,0.58
10/7/2010,1168540,772892,1941432,0.66
10/8/2010,1391012,769187,2160199,0.55
10/11/2010,1301816,736816,2038632,0.57
10/12/2010,1330857,682809,2013666,0.51
10/13/2010,2057175,916759,2973934,0.45
10/14/2010,2069767,1177435,3247202,0.57
10/15/2010,2242650,1246617,3489267,0.56
10/18/2010,1694556,950777,2645333,0.56
10/19/2010,1476872,1088126,2564998,0.74
10/20/2010,1426512,942522,2369034,0.66
10/21/2010,1228606,882854,2111460,0.72
10/22/2010,1036808,710021,1746829,0.68
10/25/2010,1310491,827269,2137760,0.63
10/26/2010,1414258,842555,2256813,0.6
10/27/2010,1443792,893774,2337566,0.62
10/28/2010,1438852,864471,2303323,0.6
10/29/2010,1287894,695831,1983725,0.54
11/1/2010,1268821,795456,2064277,0.63
11/2/2010,1218760,658374,1877134,0.54
11/3/2010,1512803,788771,2301574,0.52
11/4/2010,2465210,1086621,3551831,0.44
11/5/2010,2398237,980204,3378441,0.41
11/8/2010,1544815,773734,2318549,0.5
11/9/2010,1724887,960776,2685663,0.56
11/10/2010,1555458,736538,2291996,0.47
11/11/2010,1580487,866130,2446617,0.55
11/12/2010,1632803,1034598,2667401,0.63
11/15/2010,1464588,798644,2263232,0.55
11/16/2010,1701132,1127325,2828457,0.66
11/17/2010,1452097,813984,2266081,0.56
11/18/2010,1651029,878785,2529814,0.53
11/19/2010,1819150,1018951,2838101,0.56
11/22/2010,1458376,819018,2277394,0.56
11/23/2010,1225284,859963,2085247,0.7
11/24/2010,1063199,561210,1624409,0.53
11/26/2010,470043,300576,770619,0.64
11/29/2010,1048779,733161,1781940,0.7
11/30/2010,1193209,685579,1878788,0.57
12/1/2010,1475462,666446,2141908,0.45
12/2/2010,1705176,759991,2465167,0.45
12/3/2010,1323925,664203,1988128,0.5
12/6/2010,1355436,666289,2021725,0.49
12/7/2010,1914723,853819,2768542,0.45
12/8/2010,1541289,721356,2262645,0.47
12/9/2010,1754805,748325,2503130,0.43
12/10/2010,1668032,692414,2360446,0.42
12/13/2010,2117713,746240,2863953,0.35
12/14/2010,1598614,795552,2394166,0.5
12/15/2010,1562541,802935,2365476,0.51
12/16/2010,1709025,850214,2559239,0.5
12/17/2010,1858691,913426,2772117,0.49
12/20/2010,1549684,896487,2446171,0.58
12/21/2010,1427739,715823,2143562,0.5
12/22/2010,1338242,632901,1971143,0.47
12/23/2010,1002635,521165,1523800,0.52
12/27/2010,841684,447711,1289395,0.53
12/28/2010,963168,525575,1488743,0.55
12/29/2010,928357,481796,1410153,0.52
12/30/2010,910799,464312,1375111,0.51
12/31/2010,723226,506202,1229428,0.7
1/3/2011,1979879,786089,2765968,0.4
1/4/2011,1852845,791707,2644552,0.43
1/5/2011,1852659,895116,2747775,0.48
1/6/2011,2137332,982089,3119421,0.46
1/7/2011,1936157,971971,2908128,0.5
1/10/2011,1428669,773350,2202019,0.54
1/11/2011,1598298,841165,2439463,0.53
1/12/2011,1865045,831412,2696457,0.45
1/13/2011,2037009,1018399,3055408,0.5
1/14/2011,2723031,1004895,3727926,0.37
1/18/2011,2318032,1016110,3334142,0.44
1/19/2011,2358646,1113296,3471942,0.47
1/20/2011,2151593,1432848,3584441,0.67
1/21/2011,2466693,1348891,3815584,0.55
1/24/2011,1785184,915357,2700541,0.51
1/25/2011,1695217,1072077,2767294,0.63
1/26/2011,1598700,919412,2518112,0.58
1/27/2011,1571963,877881,2449844,0.56
1/28/2011,1707963,1114679,2822642,0.65
1/31/2011,1370723,837545,2208268,0.61
2/1/2011,1844674,904381,2749055,0.49
2/2/2011,1711054,778446,2489500,0.45
2/3/2011,1609801,937466,2547267,0.58
2/4/2011,1455715,934249,2389964,0.64
2/7/2011,1695546,774393,2469939,0.46
2/8/2011,1472659,762444,2235103,0.52
2/9/2011,1613773,843142,2456915,0.52
2/10/2011,1833821,1015179,2849000,0.55
2/11/2011,1918427,983702,2902129,0.51
2/14/2011,1654462,851724,2506186,0.51
2/15/2011,1483604,791221,2274825,0.53
2/16/2011,1812707,1045902,2858609,0.58
2/17/2011,1846313,928669,2774982,0.5
2/18/2011,1958313,1191706,3150019,0.61
2/22/2011,1817321,1237376,3054697,0.68
2/23/2011,1822930,1310392,3133322,0.72
2/24/2011,1400155,989406,2389561,0.71
2/25/2011,1387325,683836,2071161,0.49
2/28/2011,1247689,666797,1914486,0.53
3/1/2011,1335116,857859,2192975,0.64
3/2/2011,1202768,666213,1868981,0.55
3/3/2011,1318148,719369,2037517,0.55
3/4/2011,1416865,802282,2219147,0.57
3/7/2011,1276233,815715,2091948,0.64
3/8/2011,1339628,726328,2065956,0.54
3/9/2011,1188077,716388,1904465,0.6
3/10/2011,1424462,1035358,2459820,0.73
3/11/2011,1086201,670492,1756693,0.62
3/14/2011,1119528,746499,1866027,0.67
3/15/2011,1629510,1158065,2787575,0.71
3/16/2011,1645815,1296965,2942780,0.79
3/17/2011,1283074,916231,2199305,0.71
3/18/2011,1742494,1163581,2906075,0.67
3/21/2011,1717392,839086,2556478,0.49
3/22/2011,1218554,666502,1885056,0.55
3/23/2011,1243053,728245,1971298,0.59
3/24/2011,1506152,830078,2336230,0.55
3/25/2011,1368197,726168,2094365,0.53
3/28/2011,1030144,573303,1603447,0.56
3/29/2011,1126947,590117,1717064,0.52
3/30/2011,1335217,719441,2054658,0.54
3/31/2011,1185880,666189,1852069,0.56
4/1/2011,1393132,715155,2108287,0.51
4/4/2011,1102876,656085,1758961,0.59
4/5/2011,1290943,728319,2019262,0.56
4/6/2011,1463009,802878,2265887,0.55
4/7/2011,1309691,694187,2003878,0.53
4/8/2011,1288997,750120,2039117,0.58
4/11/2011,1174919,726657,1901576,0.62
4/12/2011,1449671,847799,2297470,0.58
4/13/2011,1231881,804104,2035985,0.65
4/14/2011,1354442,938073,2292515,0.69
4/15/2011,1636189,1031676,2667865,0.63
4/18/2011,1356782,819082,2175864,0.6
4/19/2011,1269775,808942,2078717,0.64
4/20/2011,1659896,839010,2498906,0.51
4/21/2011,1383910,855488,2239398,0.62
4/25/2011,1046726,596273,1642999,0.57
4/26/2011,1239201,700557,1939758,0.57
4/27/2011,1305153,767331,2072484,0.59
4/28/2011,1346839,731671,2078510,0.54
4/29/2011,1251355,735029,1986384,0.59
5/2/2011,1243294,620297,1863591,0.5
5/3/2011,1466498,901250,2367748,0.61
5/4/2011,1343469,971595,2315064,0.72
5/5/2011,1257282,812406,2069688,0.65
5/6/2011,1120193,695537,1815730,0.62
5/9/2011,891594,559235,1450829,0.63
5/10/2011,1019632,590135,1609767,0.58
5/11/2011,1159917,774163,1934080,0.67
5/12/2011,1199680,801786,2001466,0.67
5/13/2011,1043134,765507,1808641,0.73
5/16/2011,1167069,711720,1878789,0.61
5/17/2011,1184442,889123,2073565,0.75
5/18/2011,1084862,737676,1822538,0.68
5/19/2011,1096376,770325,1866701,0.7
5/20/2011,1270924,955801,2226725,0.75
5/23/2011,941533,645216,1586749,0.69
5/24/2011,1026091,627313,1653404,0.61
5/25/2011,1190691,603221,1793912,0.51
5/26/2011,860806,517165,1377971,0.6
5/27/2011,989075,502010,1491085,0.51
5/31/2011,932803,500324,1433127,0.54
6/1/2011,1035050,787098,1822148,0.76
6/2/2011,871294,620450,1491744,0.71
6/3/2011,887773,631674,1519447,0.71
6/6/2011,1048033,833233,1881266,0.8
6/7/2011,877042,647898,1524940,0.74
6/8/2011,1001729,953937,1955666,0.95
6/9/2011,868295,665415,1533710,0.77
6/10/2011,905696,913005,1818701,1.01
6/13/2011,960084,704242,1664326,0.73
6/14/2011,956788,618075,1574863,0.65
6/15/2011,858990,940136,1799126,1.09
6/16/2011,1009203,1037954,2047157,1.03
6/17/2011,1152676,1252862,2405538,1.09
6/20/2011,1133605,642043,1775648,0.57
6/21/2011,1190106,702244,1892350,0.59
6/22/2011,933191,493334,1426525,0.53
6/23/2011,1078072,703409,1781481,0.65
6/24/2011,754027,526519,1280546,0.7
6/27/2011,870362,540380,1410742,0.62
6/28/2011,990175,585733,1575908,0.59
6/29/2011,946495,529856,1476351,0.56
6/30/2011,1088428,591462,1679890,0.54
7/1/2011,1085173,598387,1683560,0.55
7/5/2011,914351,585741,1500092,0.64
7/6/2011,876401,626618,1503019,0.71
7/7/2011,1262960,705628,1968588,0.56
7/8/2011,954463,553723,1508186,0.58
7/11/2011,959005,707197,1666202,0.74
7/12/2011,962823,648786,1611609,0.67
7/13/2011,1018746,686897,1705643,0.67
7/14/2011,1091951,851982,1943933,0.78
7/15/2011,1366602,876194,2242796,0.64
7/18/2011,1195421,815330,2010751,0.68
7/19/2011,1548847,796024,2344871,0.51
7/20/2011,1248417,763229,2011646,0.61
7/21/2011,1523479,848604,2372083,0.56
7/22/2011,1106390,664559,1770949,0.6
7/25/2011,915889,550901,1466790,0.6
7/26/2011,1136339,663182,1799521,0.58
7/27/2011,1217433,807957,2025390,0.66
7/28/2011,1014479,694213,1708692,0.68
7/29/2011,1033702,795043,1828745,0.77
8/1/2011,879531,668565,1548096,0.76
8/2/2011,1030331,700017,1730348,0.68
8/3/2011,1229765,942236,2172001,0.77
8/4/2011,1533804,1475885,3009689,0.96
8/5/2011,1882146,1764051,3646197,0.94
8/8/2011,1707772,1831341,3539113,1.07
8/9/2011,1762353,1501897,3264250,0.85
8/10/2011,1382089,1123417,2505506,0.81
8/11/2011,1562348,964183,2526531,0.62
8/12/2011,1080987,811259,1892246,0.75
8/15/2011,1031339,703745,1735084,0.68
8/16/2011,925809,681887,1607696,0.74
8/17/2011,980607,787942,1768549,0.8
8/18/2011,1240018,1194385,2434403,0.96
8/19/2011,1140537,1171966,2312503,1.03
8/22/2011,1086848,789023,1875871,0.73
8/23/2011,1225963,817313,2043276,0.67
8/24/2011,962058,632255,1594313,0.66
8/25/2011,1017841,779339,1797180,0.77
8/26/2011,932503,678473,1610976,0.73
8/29/2011,1055904,566807,1622711,0.54
8/30/2011,897681,649103,1546784,0.72
8/31/2011,974960,635649,1610609,0.65
9/1/2011,780507,536197,1316704,0.69
9/2/2011,776392,652377,1428769,0.84
9/6/2011,895763,674670,1570433,0.75
9/7/2011,885007,548157,1433164,0.62
9/8/2011,851285,607613,1458898,0.71
9/9/2011,986021,846262,1832283,0.86
9/12/2011,903409,650545,1553954,0.72
9/13/2011,852422,601391,1453813,0.71
9/14/2011,1075941,690265,1766206,0.64
9/15/2011,1116484,757958,1874442,0.68
9/16/2011,1342088,897297,2239385,0.67
9/19/2011,975892,607288,1583180,0.62
9/20/2011,1022277,641977,1664254,0.63
9/21/2011,1079305,857244,1936549,0.79
9/22/2011,1412693,1199053,2611746,0.85
9/23/2011,1055580,681581,1737161,0.65
9/26/2011,966121,566150,1532271,0.59
9/27/2011,1040827,638436,1679263,0.61
9/28/2011,666546,549801,1216347,0.82
9/29/2011,831575,667444,1499019,0.8
9/30/2011,902876,729205,1632081,0.81
10/3/2011,1045038,892709,1937747,0.85
10/4/2011,1397537,1079044,2476581,0.77
10/5/2011,1105552,763528,1869080,0.69
10/6/2011,1020879,687272,1708151,0.67
10/7/2011,886783,626214,1512997,0.71
10/10/2011,887926,562934,1450860,0.63
10/11/2011,810183,619921,1430104,0.77
10/12/2011,1149998,732551,1882549,0.64
10/13/2011,866622,619571,1486193,0.71
10/14/2011,1118158,669482,1787640,0.6
10/17/2011,902843,644524,1547367,0.71
10/18/2011,1145034,708398,1853432,0.62
10/19/2011,1190326,850887,2041213,0.71
10/20/2011,1090286,803357,1893643,0.74
10/21/2011,1550969,782801,2333770,0.5
10/24/2011,1317299,687444,2004743,0.52
10/25/2011,930564,731790,1662354,0.79
10/26/2011,1052263,734397,1786660,0.7
10/27/2011,1896949,955015,2851964,0.5
10/28/2011,1174480,649004,1823484,0.55
10/31/2011,755662,585198,1340860,0.77
11/1/2011,1132530,1008268,2140798,0.89
11/2/2011,836582,569838,1406420,0.68
11/3/2011,996287,629911,1626198,0.63
11/4/2011,885145,701187,1586332,0.79
11/7/2011,770178,498171,1268349,0.65
11/8/2011,926980,604363,1531343,0.65
11/9/2011,1013555,921930,1935485,0.91
11/10/2011,906442,679280,1585722,0.75
11/11/2011,906589,583590,1490179,0.64
11/14/2011,752540,577336,1329876,0.77
11/15/2011,926606,654092,1580698,0.71
11/16/2011,922270,686416,1608686,0.74
11/17/2011,1102262,902700,2004962,0.82
11/18/2011,1062088,952478,2014566,0.9
11/21/2011,1094699,722881,1817580,0.66
11/22/2011,868038,577492,1445530,0.67
11/23/2011,927224,658775,1585999,0.71
11/25/2011,367019,275593,642612,0.75
11/28/2011,905868,587200,1493068,0.65
11/29/2011,865617,526369,1391986,0.61
11/30/2011,1286890,709528,1996418,0.55
12/1/2011,911659,570797,1482456,0.63
12/2/2011,1004168,579819,1583987,0.58
12/5/2011,889611,600067,1489678,0.67
12/6/2011,754087,553552,1307639,0.73
12/7/2011,854524,623234,1477758,0.73
12/8/2011,849976,649849,1499825,0.76
12/9/2011,798498,555735,1354233,0.7
12/12/2011,988572,597395,1585967,0.6
12/13/2011,875143,679164,1554307,0.78
12/14/2011,926773,763759,1690532,0.82
12/15/2011,756020,680961,1436981,0.9
12/16/2011,1019439,910530,1929969,0.89
12/19/2011,1020381,618236,1638617,0.61
12/20/2011,1070080,562620,1632700,0.53
12/21/2011,835531,597686,1433217,0.72
12/22/2011,810050,551125,1361175,0.68
12/23/2011,599747,377198,976945,0.63
12/27/2011,558135,397591,955726,0.71
12/28/2011,567600,387744,955344,0.68
12/29/2011,561394,389134,950528,0.69
12/30/2011,589406,318032,907438,0.54
1/3/2012,1174201,643884,1818085,0.55
1/4/2012,958616,712281,1670897,0.74
1/5/2012,1077256,652347,1729603,0.61
1/6/2012,1100590,680768,1781358,0.62
1/9/2012,1085118,710848,1795966,0.66
1/10/2012,1363187,781486,2144673,0.57
1/11/2012,1391668,756537,2148205,0.54
1/12/2012,1393805,794150,2187955,0.57
1/13/2012,1268437,758754,2027191,0.6
1/17/2012,1478548,873056,2351604,0.59
1/18/2012,1723542,942411,2665953,0.55
1/19/2012,2280572,1092254,3372826,0.48
1/20/2012,2131429,1106525,3237954,0.52
1/23/2012,1417023,913956,2330979,0.64
1/24/2012,1248117,779382,2027499,0.62
1/25/2012,1605429,908426,2513855,0.57
1/26/2012,1525062,998221,2523283,0.65
1/27/2012,1291738,774494,2066232,0.6
1/30/2012,1072009,715571,1787580,0.67
1/31/2012,1220576,745276,1965852,0.61
2/1/2012,1449718,885436,2335154,0.61
2/2/2012,1286399,801023,2087422,0.62
2/3/2012,1781120,910973,2692093,0.51
2/6/2012,1217203,675324,1892527,0.55
2/7/2012,1432785,832067,2264852,0.58
2/8/2012,1653567,887023,2540590,0.54
2/9/2012,1796556,993180,2789736,0.55
2/10/2012,1376918,1035927,2412845,0.75
2/13/2012,1438352,759199,2197551,0.53
2/14/2012,1508344,902237,2410581,0.6
2/15/2012,1683528,1068545,2752073,0.63
2/16/2012,1781382,1100499,2881881,0.62
2/17/2012,1949713,994518,2944231,0.51
2/21/2012,1639253,1000248,2639501,0.61
2/22/2012,1211002,764194,1975196,0.63
2/23/2012,1289490,868570,2158060,0.67
2/24/2012,1383988,951816,2335804,0.69
2/27/2012,1221894,777824,1999718,0.64
2/28/2012,1330574,755052,2085626,0.57
2/29/2012,1336427,891069,2227496,0.67
3/1/2012,1248014,804519,2052533,0.64
3/2/2012,1166206,699379,1865585,0.6
3/5/2012,1047154,766585,1813739,0.73
3/6/2012,1213578,951054,2164632,0.78
3/7/2012,1029556,633977,1663533,0.62
3/8/2012,1141748,701886,1843634,0.61
3/9/2012,1197362,750474,1947836,0.63
3/12/2012,898419,627780,1526199,0.7
3/13/2012,1557399,921226,2478625,0.59
3/14/2012,1725822,940511,2666333,0.54
3/15/2012,1846330,952089,2798419,0.52
3/16/2012,2182618,998222,3180840,0.46
3/19/2012,1798501,894965,2693466,0.5
3/20/2012,1351148,700140,2051288,0.52
3/21/2012,1333208,739236,2072444,0.55
3/22/2012,1224547,829352,2053899,0.68
3/23/2012,1026148,629781,1655929,0.61
3/26/2012,1173896,845864,2019760,0.72
3/27/2012,1330043,730509,2060552,0.55
3/28/2012,1191911,844178,2036089,0.71
3/29/2012,1181006,788013,1969019,0.67
3/30/2012,1131791,667554,1799345,0.59
4/2/2012,1200952,620688,1821640,0.52
4/3/2012,1260398,721443,1981841,0.57
4/4/2012,1145439,750898,1896337,0.66
4/5/2012,1101165,658742,1759907,0.6
4/9/2012,994687,690064,1684751,0.69
4/10/2012,1628986,1095618,2724604,0.67
4/11/2012,1144137,748956,1893093,0.65
4/12/2012,1509189,772093,2281282,0.51
4/13/2012,1185490,851125,2036615,0.72
4/16/2012,1086308,755500,1841808,0.7
4/17/2012,1249575,714119,1963694,0.57
4/18/2012,1302565,765441,2068006,0.59
4/19/2012,1542896,1005189,2548085,0.65
4/20/2012,1810334,1148223,2958557,0.63
4/23/2012,1291229,759261,2050490,0.59
4/24/2012,1279368,841822,2121190,0.66
4/25/2012,1680153,799745,2479898,0.48
4/26/2012,1361143,842575,2203718,0.62
4/27/2012,1293641,773863,2067504,0.6
4/30/2012,1026951,661471,1688422,0.64
5/1/2012,1329869,705697,2035566,0.53
5/2/2012,1120210,833769,1953979,0.74
5/3/2012,1172988,876759,2049747,0.75
5/4/2012,1299463,922254,2221717,0.71
5/7/2012,1003622,652605,1656227,0.65
5/8/2012,1219890,905821,2125711,0.74
5/9/2012,1182098,790274,1972372,0.67
5/10/2012,1136613,775156,1911769,0.68
5/11/2012,1176811,868406,2045217,0.74
5/14/2012,1019333,855460,1874793,0.84
5/15/2012,1168614,940878,2109492,0.81
5/16/2012,1231446,1082174,2313620,0.88
5/17/2012,1310771,1155895,2466666,0.88
5/18/2012,1375103,1354695,2729798,0.99
5/21/2012,1246192,673789,1919981,0.54
5/22/2012,1226934,778314,2005248,0.63
5/23/2012,1117163,820731,1937894,0.73
5/24/2012,943532,694010,1637542,0.74
5/25/2012,783986,517562,1301548,0.66
5/29/2012,1031028,683253,1714281,0.66
5/30/2012,801273,614386,1415659,0.77
5/31/2012,923184,732937,1656121,0.79
6/1/2012,1183860,936556,2120416,0.79
6/4/2012,1007845,783009,1790854,0.78
6/5/2012,879661,608372,1488033,0.69
6/6/2012,1053399,700483,1753882,0.66
6/7/2012,1102256,702678,1804934,0.64
6/8/2012,763671,592605,1356276,0.78
06/11/2012, 827685, 670352, 1498037, 0.81
06/12/2012, 881348, 633895, 1515243, 0.72
06/13/2012, 839311, 770824, 1610135, 0.92
06/14/2012, 942530, 778871, 1721401, 0.83
06/15/2012, 1346751, 924671, 2271422, 0.69
06/18/2012, 1081996, 619807, 1701803, 0.57
06/19/2012, 1126709, 663402, 1790111, 0.59
06/20/2012, 948159, 617595, 1565754, 0.65
06/21/2012, 919654, 739723, 1659377, 0.80
06/22/2012, 947326, 579708, 1527034, 0.61
06/25/2012, 786897, 611020, 1397917, 0.78
06/26/2012, 805247, 590713, 1395960, 0.73
06/27/2012, 881546, 576289, 1457835, 0.65
06/28/2012, 899935, 676630, 1576565, 0.75
06/29/2012, 1270279, 879283, 2149562, 0.69
07/02/2012, 759446, 548522, 1307968, 0.72
07/03/2012, 640335, 415646, 1055981, 0.65
