CBOE Volume and Put/Call Ratio data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action.  As of June 11 2012 Equity Volume includes only the volume of equity option products and excludes that of exchange-traded products.  Historical index volume from November 1 2006 through May 31 2012 is based on cleared volume as reported by the OCC. The volume data reflected after May 31 2012 below is based upon preliminary reported volume rather than cleared volume. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of CBOE Volume and Put/Call Ratio data is subject to the Terms and Conditions of CBOE's Websites.,,,,
, PRODUCT: EQUITY,,EXCHANGE: CBOE,
DATE,CALL,PUT,TOTAL,P/C Ratio
12/18/2013, 1307296, 814502, 2121798, 0.62
12/19/2013, 1173892, 611810, 1785702, 0.52
12/20/2013, 1674286, 831986, 2506272, 0.50
12/23/2013, 1329187, 654076, 1983263, 0.49
12/24/2013, 617199, 286322, 903521, 0.46
12/26/2013, 841970, 496660, 1338630, 0.59
12/27/2013, 1060337, 567824, 1628161, 0.54
12/30/2013, 1029930, 506622, 1536552, 0.49
12/31/2013, 993447, 453040, 1446487, 0.46
01/02/2014, 1095587, 616347, 1711934, 0.56
01/03/2014, 1148373, 623494, 1771867, 0.54
01/06/2014, 1287636, 673624, 1961260, 0.52
01/07/2014, 1414866, 667557, 2082423, 0.47
01/08/2014, 1414755, 710741, 2125496, 0.50
01/09/2014, 1492315, 814895, 2307210, 0.55
01/10/2014, 1608895, 849179, 2458074, 0.53
01/13/2014, 1440922, 878355, 2319277, 0.61
01/14/2014, 1394833, 726999, 2121832, 0.52
01/15/2014, 1845563, 891302, 2736865, 0.48
01/16/2014, 1576034, 890926, 2466960, 0.57
01/17/2014, 1979449, 1049060, 3028509, 0.53
01/21/2014, 1492797, 857055, 2349852, 0.57
01/22/2014, 1407929, 734749, 2142678, 0.52
01/23/2014, 1346004, 879643, 2225647, 0.65
01/24/2014, 1660673, 1146225, 2806898, 0.69
01/27/2014, 1496685, 793579, 2290264, 0.53
01/28/2014, 1225915, 648952, 1874867, 0.53
01/29/2014, 1202254, 746970, 1949224, 0.62
01/30/2014, 1345559, 726483, 2072042, 0.54
01/31/2014, 1343844, 886751, 2230595, 0.66
02/03/2014, 1366803, 840283, 2207086, 0.61
02/04/2014, 1159295, 693919, 1853214, 0.60
02/05/2014, 1254114, 772771, 2026885, 0.62
02/06/2014, 1258650, 765132, 2023782, 0.61
02/07/2014, 1385288, 939405, 2324693, 0.68
02/10/2014, 1016821, 717369, 1734190, 0.71
02/11/2014, 1282550, 707899, 1990449, 0.55
02/12/2014, 1091205, 698278, 1789483, 0.64
02/13/2014, 1353117, 768603, 2121720, 0.57
02/14/2014, 1254467, 720650, 1975117, 0.57
02/18/2014, 1231461, 749959, 1981420, 0.61
02/19/2014, 1311492, 724952, 2036444, 0.55
02/20/2014, 1300181, 751977, 2052158, 0.58
02/21/2014, 1619551, 894944, 2514495, 0.55
02/24/2014, 1446605, 794231, 2240836, 0.55
02/25/2014, 1291604, 730752, 2022356, 0.57
02/26/2014, 1313950, 755043, 2068993, 0.57
02/27/2014, 1215816, 710189, 1926005, 0.58
02/28/2014, 1422140, 895915, 2318055, 0.63
03/03/2014, 1021232, 634616, 1655848, 0.62
03/04/2014, 1293919, 617979, 1911898, 0.48
03/05/2014, 1350090, 614508, 1964598, 0.46
03/06/2014, 1337040, 703345, 2040385, 0.53
03/07/2014, 1283407, 709704, 1993111, 0.55
03/10/2014, 973428, 650435, 1623863, 0.67
03/11/2014, 1190112, 691972, 1882084, 0.58
03/12/2014, 949706, 672270, 1621976, 0.71
03/13/2014, 1224166, 846943, 2071109, 0.69
03/14/2014, 1255743, 864258, 2120001, 0.69
03/17/2014, 987063, 560258, 1547321, 0.57
03/18/2014, 1044200, 569299, 1613499, 0.55
03/19/2014, 1128832, 596821, 1725653, 0.53
03/20/2014, 1313327, 718867, 2032194, 0.55
03/21/2014, 1623688, 1004979, 2628667, 0.62
03/24/2014, 1230940, 807877, 2038817, 0.66
03/25/2014, 1201404, 641657, 1843061, 0.53
03/26/2014, 1190334, 765067, 1955401, 0.64
03/27/2014, 1245466, 712028, 1957494, 0.57
03/28/2014, 1132631, 728463, 1861094, 0.64
03/31/2014, 957440, 543919, 1501359, 0.57
04/01/2014, 1140176, 535526, 1675702, 0.47
