Volume and Put/Call Ratio data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action.  Historical index volume from November 1 2006 through May 31 2012 is based on cleared volume as reported by the OCC. The volume data reflected after May 31 2012 below is based upon preliminary reported volume rather than cleared volume. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of CBOE Volume and Put/Call Ratio data is subject to the Terms and Conditions of CBOE's Websites.,,,,
, PRODUCT: TOTAL,,EXCHANGE: CBOE,
DATE,CALLS,PUTS,TOTAL,P/C Ratio
6/8/2012,1881807,1808642,3690449,0.96
06/11/2012, 1946611, 1835532, 3782143, 0.94
06/12/2012, 1814864, 2072783, 3887647, 1.14
06/13/2012, 1706821, 2188107, 3894928, 1.28
06/14/2012, 2333634, 2414288, 4747922, 1.03
06/15/2012, 2820539, 2875512, 5696051, 1.02
06/18/2012, 2127303, 2134959, 4262262, 1.00
06/19/2012, 2393252, 2579643, 4972895, 1.08
06/20/2012, 2237546, 2094464, 4332010, 0.94
06/21/2012, 2158830, 2423810, 4582640, 1.12
06/22/2012, 1818321, 1800424, 3618745, 0.99
06/25/2012, 1638761, 1885640, 3524401, 1.15
06/26/2012, 1415359, 1415850, 2831209, 1.00
06/27/2012, 1572784, 1455626, 3028410, 0.93
06/28/2012, 1796319, 1760883, 3557202, 0.98
06/29/2012, 2811112, 2514475, 5325587, 0.89
07/02/2012, 1464557, 1524828, 2989385, 1.04
07/03/2012, 1317887, 1200408, 2518295, 0.91
07/05/2012, 1771417, 1529991, 3301408, 0.86
07/06/2012, 1598442, 1737045, 3335487, 1.09
07/09/2012, 1460402, 1450417, 2910819, 0.99
07/10/2012, 1805647, 1979012, 3784659, 1.10
07/11/2012, 1664415, 1596854, 3261269, 0.96
07/12/2012, 2147742, 2099552, 4247294, 0.98
07/13/2012, 1889944, 1894448, 3784392, 1.00
07/16/2012, 1631794, 1519516, 3151310, 0.93
07/17/2012, 2448734, 2067233, 4515967, 0.84
07/18/2012, 2659997, 2272088, 4932085, 0.85
07/19/2012, 2719513, 2352209, 5071722, 0.86
07/20/2012, 2467025, 2478189, 4945214, 1.00
07/23/2012, 2044046, 1725490, 3769536, 0.84
07/24/2012, 2229063, 1957875, 4186938, 0.88
07/25/2012, 2067095, 1936145, 4003240, 0.94
07/26/2012, 2161241, 2109089, 4270330, 0.98
07/27/2012, 2883731, 2552181, 5435912, 0.89
07/30/2012, 1914762, 1502577, 3417339, 0.78
07/31/2012, 1747166, 1417500, 3164666, 0.81
08/01/2012, 2023480, 1914531, 3938011, 0.95
08/02/2012, 2239774, 2078467, 4318241, 0.93
08/03/2012, 2692734, 2228117, 4920851, 0.83
08/06/2012, 2146166, 1707134, 3853300, 0.80
08/07/2012, 2215632, 1797621, 4013253, 0.81
08/08/2012, 1740816, 1391469, 3132285, 0.80
08/09/2012, 1670120, 1437537, 3107657, 0.86
08/10/2012, 1466662, 1454657, 2921319, 0.99
