sma50,1hour,0,17.187,slopenormal,PCompareNormal,ES,17.187
ema,1hour,0,14.2972,slopenormal,PCompareNormal,ES,14.2972
ROC,1day,0,3.0771,slopenormal,PCompareNormal,ES,3.0771
RVIsignal,1day,0,0.1734,slopenormal,PCompareNormal,ES,0.1734
RVI_CROSS,1day,0,0.0792,slopenormal,PCompareNormal,ES,0.0792
RVIline,1day,0,0.1782,slopenormal,PCompareNormal,ES,0.1782
AO,1day,0,41.2903,slopenormal,PCompareNormal,ES,41.2903
AOAcc,1day,0,11.944,slopenormal,PCompareNormal,ES,11.944
RSI,1day,0,12.3177,slopenormal,PCompareNormal,ES,12.3177
mcross,1day,0,18.0874,slopenormal,PCompareNormal,ES,18.0874
Stoch_CROSS,1day,0,10.1113,slopenormal,PCompareNormal,ES,10.1113
mcd,1day,0,6.4956,slopenormal,PCompareNormal,ES,6.4956
RVI_CROSS,1day,0,0.0792,slopenormal,PCompareNormal,ES,0.0792
StochD,1day,0,26.8108,slopenormal,PCompareNormal,ES,26.8108
StochK,1day,0,30.0149,slopenormal,PCompareNormal,ES,30.0149
RVIsignal,1day,0,0.1734,slopenormal,PCompareNormal,ES,0.1734
RVIline,1day,0,0.1782,slopenormal,PCompareNormal,ES,0.1782
ATR,1day,0,7.268,slopenormal,PCompareNormal,ES,7.268
diffvES,1day,0,0.0,slopenormal,PCompareNormal,ES,0.0
kupper,1day,0,63.3644,slopenormal,PCompareNormal,ES,63.3644
klower,1day,0,80.3457,slopenormal,PCompareNormal,ES,80.3457
kmid,1day,0,71.7095,slopenormal,PCompareNormal,ES,71.7095
bbandupper,1day,0,52.5561,slopenormal,PCompareNormal,ES,52.5561
bbandlower,1day,0,74.9307,slopenormal,PCompareNormal,ES,74.9307
stddev,1day,0,13.925,slopenormal,PCompareNormal,ES,13.925
pivot,1day,0,79.3233,slopenormal,PCompareNormal,ES,79.3233
R,1day,0,74.8877,slopenormal,PCompareNormal,ES,74.8877
S,1day,0,84.3577,slopenormal,PCompareNormal,ES,84.3577
S2,1day,0,89.5538,slopenormal,PCompareNormal,ES,89.5538
R2,1day,0,71.117,slopenormal,PCompareNormal,ES,71.117
sma200,1day,0,6.5564,slopenormal,PCompareNormal,ES,6.5564
sma100,1day,0,7.3038,slopenormal,PCompareNormal,ES,7.3038
sma50,1day,0,24.4828,slopenormal,PCompareNormal,ES,24.4828
ema,1day,0,58.4919,slopenormal,PCompareNormal,ES,58.4919
ROC,1min,0,0.2198,slopenormal,PCompareNormal,FDAX,0.2198
RVIsignal,1min,0,0.1461,slopenormal,PCompareNormal,FDAX,0.1461
RVI_CROSS,1min,0,0.076,slopenormal,PCompareNormal,FDAX,0.076
RVIline,1min,0,0.1085,slopenormal,PCompareNormal,FDAX,0.1085
AO,1min,0,10.5996,slopenormal,PCompareNormal,FDAX,10.5996
AOAcc,1min,0,6.0483,slopenormal,PCompareNormal,FDAX,6.0483
RSI,1min,0,11.9361,slopenormal,PCompareNormal,FDAX,11.9361
